iter	PRAUC	Logloss
0	0.9204050712	0.4655229372
1	0.9218937525	0.3896626525
2	0.9222198629	0.3582770153
3	0.9226690048	0.3445030575
4	0.9228867834	0.33853381
5	0.9230957369	0.3351422523
6	0.9219262797	0.3335900096
7	0.9222863909	0.3322766785
8	0.9225441834	0.3315586837
9	0.9230625677	0.3307405833
10	0.9233197765	0.3301325249
11	0.9235308602	0.3296244666
12	0.9238675546	0.3292951825
13	0.9239545632	0.3290836167
14	0.9243235052	0.3285154996
15	0.9244700378	0.3283025259
16	0.9246457764	0.3280386093
17	0.9246629125	0.327943
18	0.9247146039	0.3277659468
19	0.9248545856	0.3275087254
20	0.9249348016	0.3274067033
21	0.9250347235	0.3273053775
22	0.9250692323	0.3271643524
23	0.9251712991	0.3269481419
24	0.9252122337	0.3268352326
25	0.9253089093	0.326736866
26	0.9253267363	0.3265859779
27	0.925495191	0.3264646378
28	0.9255297002	0.3263656027
29	0.9256280111	0.3262624185
30	0.9257030879	0.3261895142
31	0.925739406	0.3260748576
32	0.9258555664	0.3259650701
33	0.9259562215	0.3258860653
34	0.9260181434	0.325797086
35	0.926065939	0.3257304087
36	0.9261377786	0.3256497079
37	0.9261941658	0.3255810372
38	0.9262012568	0.3255444593
39	0.9262718747	0.3254879983
40	0.9263688591	0.3253397103
41	0.9263910682	0.3252966804
42	0.9264294602	0.3252120937
43	0.9264448612	0.3251719938
44	0.9264953479	0.3251120271
45	0.926505969	0.3250687186
46	0.9265465203	0.3249651799
47	0.9265944877	0.3249078237
48	0.9266285242	0.3248744444
49	0.9266722273	0.32482706
50	0.9267176025	0.324775739
51	0.926752106	0.3247449815
52	0.9268067045	0.3246947395
53	0.9268486499	0.3246349809
54	0.9268849791	0.3245790683
55	0.9269052949	0.3245452236
56	0.9269395043	0.3244990792
57	0.9269723366	0.3244602889
58	0.9269977666	0.3244214443
59	0.927030644	0.3243924978
60	0.9270541924	0.3243628682
61	0.9271048304	0.3243177597
62	0.9271172181	0.3242589837
63	0.9271408917	0.3242184183
64	0.9271477117	0.3241903958
65	0.9271664729	0.3241603612
66	0.9271748028	0.3241280406
67	0.9272168486	0.3240696584
68	0.9272389223	0.3240434623
69	0.9272575084	0.3239967151
70	0.9273048384	0.3239651327
71	0.9273210084	0.3239290245
72	0.9273455966	0.323901749
73	0.9273948636	0.3238616075
74	0.9274120632	0.3238304074
75	0.9274262563	0.323800109
76	0.9274444092	0.3237545412
77	0.9274539644	0.3237344339
78	0.9274769269	0.3236910059
79	0.9274848288	0.3236676707
80	0.9275392807	0.323631275
81	0.9275829337	0.3235950341
82	0.9276124441	0.3235550593
83	0.9276522187	0.3235187862
84	0.927667477	0.3234995983
85	0.9277412864	0.3234269502
86	0.9277680571	0.3234081669
87	0.9277881717	0.323382324
88	0.9278216121	0.3233541037
89	0.9278388281	0.3233100805
90	0.9278488679	0.3232919882
91	0.9278777459	0.323261896
92	0.9279166764	0.3232305753
93	0.9279604996	0.3231885837
94	0.9279872715	0.3231532378
95	0.9280271378	0.3231152743
96	0.9280402655	0.3230975199
97	0.9280441994	0.3230819312
98	0.9280638468	0.3230573964
99	0.9280745013	0.3230373499
100	0.9281092165	0.3229941132
101	0.9281207822	0.3229719342
102	0.928137035	0.3229346552
103	0.9281569416	0.322901695
104	0.9281598847	0.3228788296
105	0.9281915818	0.3228409753
106	0.9281977851	0.3228252812
107	0.9282165084	0.3227958509
108	0.9282465034	0.3227596712
109	0.9282516169	0.3227415717
110	0.9282786444	0.322707924
111	0.9282851682	0.3226894258
112	0.9282943783	0.322666907
113	0.9283171837	0.3226346203
114	0.9283267109	0.3226156094
115	0.9283532905	0.3225900153
116	0.9283656836	0.3225784225
117	0.928383104	0.3225567418
118	0.9284074331	0.3225343933
119	0.9284243	0.3225153447
120	0.9284324333	0.3224797485
121	0.9284462507	0.3224659163
122	0.9284487902	0.3224562479
123	0.9284885783	0.3224214578
124	0.928513612	0.32239598
125	0.9285173319	0.3223719624
126	0.9285528648	0.322343339
127	0.9285907307	0.3223098839
128	0.9286040251	0.3222762199
129	0.92863113	0.3222516227
130	0.9286496481	0.3222334766
131	0.9286870287	0.322199474
132	0.9287028278	0.3221761096
133	0.9287533201	0.3221428114
134	0.9287646993	0.3221220315
135	0.9288013269	0.3220906295
136	0.9288319417	0.3220546537
137	0.9288436889	0.3220329812
138	0.9288679579	0.3220200242
139	0.9288888206	0.3220034746
140	0.9289254609	0.3219679685
141	0.9289399004	0.321953909
142	0.9289837094	0.3219076521
143	0.9290083886	0.3218786807
144	0.9290378598	0.3218475641
145	0.929057993	0.3218225443
146	0.9291020647	0.3217893795
147	0.9291269967	0.3217590986
148	0.9291309762	0.3217503778
149	0.9291370975	0.3217284666
