iter	Passed	Remaining
0	315	47046
1	553	40957
2	800	39248
3	1073	39196
4	1351	39206
5	1632	39174
6	1910	39038
7	2218	39378
8	2506	39263
9	2783	38973
10	3104	39233
11	3402	39134
12	3719	39202
13	4017	39024
14	4340	39064
15	4668	39095
16	4991	39050
17	5337	39141
18	5671	39104
19	5998	38987
20	6343	38964
21	6659	38745
22	6988	38587
23	7332	38493
24	7665	38326
25	8014	38221
26	8365	38108
27	8775	38235
28	9122	38063
29	9481	37924
30	9831	37739
31	10188	37569
32	10544	37385
33	10908	37218
34	11252	36973
35	11604	36747
36	11959	36526
37	12327	36333
38	12675	36077
39	13049	35885
40	13394	35608
41	13750	35357
42	14111	35113
43	14455	34823
44	14804	34544
45	15170	34297
46	15531	34036
47	15886	33759
48	16262	33520
49	16630	33261
50	16995	32990
51	17357	32713
52	17731	32451
53	18114	32203
54	18478	31918
55	18845	31633
56	19201	31328
57	19564	31033
58	19929	30738
59	20275	30413
60	20620	30085
61	20996	29801
62	21351	29485
63	21716	29182
64	22078	28871
65	22441	28562
66	22814	28263
67	23175	27946
68	23531	27624
69	23898	27312
70	24258	26991
71	24615	26667
72	24989	26359
73	25353	26038
74	25717	25717
75	26069	25383
76	26435	25061
77	26797	24736
78	27162	24412
79	27535	24093
80	27904	23770
81	28273	23446
82	28713	23178
83	29082	22850
84	29435	22509
85	29796	22173
86	30147	21830
87	30510	21496
88	30883	21167
89	31251	20834
90	31604	20490
91	31971	20156
92	32345	19824
93	32722	19494
94	33081	19152
95	33449	18815
96	33818	18477
97	34182	18137
98	34556	17802
99	34927	17463
100	35309	17130
101	35669	16785
102	36038	16444
103	36411	16105
104	36769	15758
105	37145	15418
106	37510	15074
107	37881	14731
108	38247	14386
109	38671	14062
110	39037	13716
111	39414	13372
112	39781	13025
113	40154	12680
114	40514	12330
115	40883	11983
116	41248	11634
117	41627	11288
118	41998	10940
119	42363	10590
120	42747	10245
121	43130	9898
122	43506	9550
123	43879	9200
124	44250	8850
125	44620	8499
126	45010	8151
127	45399	7803
128	45782	7453
129	46172	7103
130	46559	6752
131	46948	6402
132	47326	6049
133	47707	5696
134	48095	5343
135	48483	4990
136	48857	4636
137	49236	4281
138	49621	3926
139	49995	3571
140	50378	3215
141	50743	2858
142	51129	2502
143	51495	2145
144	51886	1789
145	52271	1432
146	52650	1074
147	53016	716
148	53386	358
149	53768	0
