round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IBM-Bank0,fedavg,ibm,0.0,1.3459312498317585e-05,1,0.1,HI-Large
5,1,IBM-Bank1,fedavg,ibm,0.0,8.334652986722897e-06,1,0.1,HI-Large
5,2,IBM-Bank2,fedavg,ibm,0.0,0.0,0,0.1,HI-Large
5,3,IBM-Bank3,fedavg,ibm,0.0,0.2789474532446291,54391,0.1,HI-Large
10,0,IBM-Bank0,fedavg,ibm,0.0,1.4878516909434468e-05,1,0.1,HI-Large
10,1,IBM-Bank1,fedavg,ibm,0.0,8.083028872579133e-06,1,0.1,HI-Large
10,2,IBM-Bank2,fedavg,ibm,0.0,0.0,0,0.1,HI-Large
10,3,IBM-Bank3,fedavg,ibm,0.0,0.33203752698293393,54391,0.1,HI-Large
15,0,IBM-Bank0,fedavg,ibm,0.0,1.24522146263713e-05,1,0.1,HI-Large
15,1,IBM-Bank1,fedavg,ibm,0.0,1.0583802548579654e-05,1,0.1,HI-Large
15,2,IBM-Bank2,fedavg,ibm,0.0,0.0,0,0.1,HI-Large
15,3,IBM-Bank3,fedavg,ibm,0.0,0.31037151046481887,54391,0.1,HI-Large
20,0,IBM-Bank0,fedavg,ibm,0.0,2.057189878625797e-05,1,0.1,HI-Large
20,1,IBM-Bank1,fedavg,ibm,0.0,8.33541718763024e-06,1,0.1,HI-Large
20,2,IBM-Bank2,fedavg,ibm,0.0,0.0,0,0.1,HI-Large
20,3,IBM-Bank3,fedavg,ibm,0.0,0.3218580205825145,54391,0.1,HI-Large
5,0,IBM-Bank0,fedprox,ibm,0.0,1.2882281709736428e-05,1,0.1,HI-Large
5,1,IBM-Bank1,fedprox,ibm,0.0,8.49199205149544e-06,1,0.1,HI-Large
5,2,IBM-Bank2,fedprox,ibm,0.0,0.0,0,0.1,HI-Large
5,3,IBM-Bank3,fedprox,ibm,0.0,0.27815146897968196,54391,0.1,HI-Large
10,0,IBM-Bank0,fedprox,ibm,0.0,1.2772207676096813e-05,1,0.1,HI-Large
10,1,IBM-Bank1,fedprox,ibm,0.0,7.625205880558775e-06,1,0.1,HI-Large
10,2,IBM-Bank2,fedprox,ibm,0.0,0.0,0,0.1,HI-Large
10,3,IBM-Bank3,fedprox,ibm,0.0,0.2526262347663878,54391,0.1,HI-Large
15,0,IBM-Bank0,fedprox,ibm,0.0,1.9479128114225606e-05,1,0.1,HI-Large
15,1,IBM-Bank1,fedprox,ibm,0.0,8.468476097726214e-06,1,0.1,HI-Large
15,2,IBM-Bank2,fedprox,ibm,0.0,0.0,0,0.1,HI-Large
