iter	PRAUC	Logloss
0	0.8741078151	0.5299009287
1	0.8773717434	0.4767296712
2	0.8735248624	0.4549837146
3	0.8746587448	0.4461331172
4	0.8752160363	0.4410006586
5	0.8660591873	0.4387475829
6	0.8662922457	0.4366730338
7	0.8677119058	0.4342545789
8	0.8681818933	0.4332480466
9	0.8685861803	0.4321005687
10	0.8694056789	0.4312216932
11	0.8693690441	0.4301135294
12	0.869462169	0.4295133867
13	0.869967811	0.4286474142
14	0.8703540111	0.4279787422
15	0.8709524838	0.4271325799
16	0.8715267196	0.4266531197
17	0.8723608522	0.4257124958
18	0.8730807554	0.4248973778
19	0.8737832394	0.4239079676
20	0.8747659399	0.4228598019
21	0.8753714467	0.4219516482
22	0.8756843739	0.4215907466
23	0.876076514	0.4211570067
24	0.8762692568	0.4206621501
25	0.8770121033	0.4193952717
26	0.8776404214	0.418942448
27	0.8778913413	0.4186558673
28	0.8781208462	0.4183519155
29	0.8791646718	0.4169263264
30	0.8794152986	0.4163293225
31	0.8797224683	0.4159717211
32	0.8798946142	0.4157724722
33	0.8801473055	0.4154546301
34	0.8804047887	0.41516774
35	0.8807852138	0.4145869336
36	0.8813840424	0.4135933061
37	0.8817235943	0.4132968227
38	0.8818317247	0.4130445835
39	0.8821800746	0.4126940673
40	0.8823881392	0.4124979747
41	0.8825479379	0.4122754802
42	0.8829455984	0.4119296123
43	0.8831133834	0.4117163015
44	0.88313622	0.4115169751
45	0.883301182	0.4112133153
46	0.8835622651	0.4108611861
47	0.8838432528	0.4105548696
48	0.8840681901	0.4103380308
49	0.8842634868	0.4101730739
50	0.8845792456	0.4098758948
51	0.8848721486	0.4096359839
52	0.8850469076	0.4093906827
53	0.8852068064	0.4090619932
54	0.8852504584	0.408915839
55	0.8854414083	0.4087714015
56	0.8855125976	0.4086298569
57	0.8855902399	0.4084894851
58	0.885816486	0.408347739
59	0.8859612487	0.4080670827
60	0.8862541554	0.4077777175
61	0.8863716732	0.4076023922
62	0.8866842773	0.4073357721
63	0.8868513118	0.4070973204
64	0.8869488281	0.4069784462
65	0.8870489438	0.4068379517
66	0.8871279085	0.4067074429
67	0.8873828923	0.4064990313
68	0.887490482	0.4063490943
69	0.8876263539	0.40615594
70	0.8878522048	0.4059465035
71	0.8878066917	0.4058834477
72	0.887868254	0.4057959133
73	0.8882119442	0.4054055606
74	0.8884411968	0.4052307702
75	0.8886285071	0.4049889666
76	0.8887987393	0.4047658202
77	0.8889910229	0.4045704822
78	0.8892261519	0.4043533319
79	0.8893026815	0.4042037965
80	0.8893910998	0.4041060482
81	0.8894457089	0.4039969572
82	0.8895870238	0.4039089984
83	0.8897799048	0.4037467533
84	0.8897817377	0.4036594768
85	0.8898650483	0.4035646451
86	0.889932242	0.4034107542
87	0.8900724315	0.4032999988
88	0.8901092538	0.4031894557
89	0.8901978028	0.4029847916
90	0.8902262781	0.4028955182
91	0.8903940028	0.4027061406
92	0.8904306306	0.4026398049
93	0.890544685	0.4025219581
94	0.8906480623	0.4023987742
95	0.8908360039	0.4022151034
96	0.8909284912	0.4021326433
97	0.8909793795	0.4020149738
98	0.8911225152	0.4019068489
99	0.8911389244	0.4018441881
100	0.8912894748	0.4016660773
101	0.8913315692	0.4015704449
102	0.8913431822	0.40151246
103	0.8914341083	0.4013568415
104	0.8915073649	0.401239438
105	0.8915644379	0.4011685114
106	0.8916411011	0.4009770558
107	0.8916431213	0.4008805037
108	0.8917612972	0.4007828038
109	0.8919021126	0.4006990492
110	0.8919617174	0.4005948559
111	0.8920105814	0.4004617689
112	0.8920466633	0.4003636519
113	0.8921641633	0.4002595145
114	0.8922211562	0.4002033357
115	0.8923873822	0.4000152127
116	0.8925539791	0.3999096226
117	0.8927100254	0.3998036531
118	0.892812898	0.3996757475
119	0.8928294853	0.3996163834
120	0.8929409323	0.3994702356
121	0.893008192	0.3993868123
122	0.8931265256	0.3992142147
123	0.8932519639	0.3991179627
124	0.8932765258	0.3990504196
125	0.8933084755	0.3989609904
126	0.8933407986	0.3989013675
127	0.8934416947	0.3988166522
128	0.8936294863	0.398642948
129	0.8936729665	0.3986042437
130	0.8937024522	0.3985595193
131	0.8938466758	0.3984584867
132	0.8938809074	0.3983689159
133	0.8939071545	0.3983051751
134	0.8939490812	0.3982101555
135	0.8940450691	0.3981320114
136	0.8941276804	0.3980629423
137	0.8941585694	0.3980041777
138	0.8941693653	0.3979504991
139	0.8941941668	0.397900155
140	0.8942389033	0.3977939691
141	0.8943468153	0.3977154506
142	0.894413124	0.3976251372
143	0.8944560544	0.3975295773
144	0.8945493932	0.3974139589
145	0.8945849736	0.3973375224
146	0.8946687422	0.3972667024
147	0.8947644315	0.3970539107
148	0.8947921327	0.396976501
149	0.8948812252	0.396869407
