iter	Passed	Remaining
0	293	43668
1	514	38053
2	747	36629
3	994	36281
4	1240	35977
5	1530	36735
6	1814	37065
7	2108	37420
8	2406	37702
9	2707	37906
10	3021	38178
11	3319	38173
12	3642	38381
13	3951	38388
14	4268	38420
15	4591	38456
16	4902	38356
17	5222	38300
18	5541	38204
19	5860	38095
20	6203	38109
21	6531	38002
22	6856	37857
23	7191	37756
24	7516	37583
25	7845	37415
26	8192	37319
27	8527	37157
28	8876	37035
29	9223	36893
30	9556	36686
31	9899	36503
32	10244	36320
33	10580	36097
34	10929	35912
35	11265	35673
36	11616	35478
37	11960	35253
38	12308	35031
39	12662	34822
40	13012	34593
41	13368	34375
42	13709	34113
43	14046	33838
44	14393	33584
45	14742	33331
46	15089	33067
47	15429	32788
48	15789	32546
49	16137	32274
50	16502	32034
51	16858	31771
52	17203	31485
53	17550	31200
54	17897	30913
55	18232	30604
56	18587	30327
57	18954	30066
58	19291	29754
59	19645	29467
60	20009	29194
61	20378	28924
62	20739	28640
63	21097	28349
64	21442	28039
65	21794	27738
66	22146	27434
67	22497	27129
68	22847	26820
69	23204	26519
70	23558	26212
71	23929	25923
72	24283	25614
73	24654	25321
74	25018	25018
75	25381	24713
76	25742	24405
77	26097	24090
78	26453	23774
79	26818	23466
80	27153	23131
81	27514	22817
82	27867	22495
83	28240	22189
84	28602	21872
85	28989	21573
86	29356	21257
87	29714	20935
88	30078	20615
89	30450	20300
90	30807	19974
91	31188	19662
92	31545	19334
93	31912	19011
94	32263	18679
95	32629	18354
96	32991	18026
97	33361	17701
98	33720	17371
99	34077	17038
100	34448	16712
101	34804	16378
102	35162	16044
103	35541	15720
104	35915	15392
105	36292	15064
106	36666	14735
107	37041	14405
108	37420	14075
109	37794	13743
110	38158	13407
111	38543	13077
112	38929	12746
113	39310	12413
114	39666	12072
115	40050	11738
116	40420	11400
117	40786	11060
118	41149	10719
119	41510	10377
120	41891	10040
121	42272	9701
122	42642	9360
123	43026	9021
124	43398	8679
125	43777	8338
126	44146	7994
127	44525	7652
128	44910	7310
129	45268	6964
130	45630	6618
131	46016	6274
132	46391	5929
133	46764	5583
134	47146	5238
135	47520	4891
136	47896	4544
137	48266	4197
138	48634	3848
139	49031	3502
140	49400	3153
141	49777	2804
142	50166	2455
143	50552	2106
144	50944	1756
145	51314	1405
146	51687	1054
147	52069	703
148	52455	352
149	52843	0
