round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IBM-Bank0,fedavg,ibm,0.44191075289954784,0.3523765734179144,8636,0.1,LI-Large
5,1,IBM-Bank1,fedavg,ibm,0.0,0.0,0,0.1,LI-Large
5,2,IBM-Bank2,fedavg,ibm,0.07731723980869962,0.06572758313788875,832,0.1,LI-Large
5,3,IBM-Bank3,fedavg,ibm,0.4776769287378879,0.3937244478188503,10001,0.1,LI-Large
10,0,IBM-Bank0,fedavg,ibm,0.4408716023234171,0.3494396825263372,8636,0.1,LI-Large
10,1,IBM-Bank1,fedavg,ibm,0.0,0.0,0,0.1,LI-Large
10,2,IBM-Bank2,fedavg,ibm,0.07624241749680004,0.06606338973920184,832,0.1,LI-Large
10,3,IBM-Bank3,fedavg,ibm,0.4751980242749149,0.3907215351864838,10001,0.1,LI-Large
15,0,IBM-Bank0,fedavg,ibm,0.43537586860391664,0.349209732617779,8636,0.1,LI-Large
15,1,IBM-Bank1,fedavg,ibm,0.0,0.0,0,0.1,LI-Large
15,2,IBM-Bank2,fedavg,ibm,0.0747480250612912,0.0653772855352856,832,0.1,LI-Large
15,3,IBM-Bank3,fedavg,ibm,0.4696279647483291,0.3898175918271486,10001,0.1,LI-Large
20,0,IBM-Bank0,fedavg,ibm,0.4392615423723428,0.35082183453622134,8636,0.1,LI-Large
20,1,IBM-Bank1,fedavg,ibm,0.0,0.0,0,0.1,LI-Large
20,2,IBM-Bank2,fedavg,ibm,0.0753083036448342,0.0626528312878533,832,0.1,LI-Large
20,3,IBM-Bank3,fedavg,ibm,0.4737030198344154,0.391767553790337,10001,0.1,LI-Large
5,0,IBM-Bank0,fedprox,ibm,0.4249823180294597,0.34052325801947536,8636,0.1,LI-Large
5,1,IBM-Bank1,fedprox,ibm,0.0,0.0,0,0.1,LI-Large
5,2,IBM-Bank2,fedprox,ibm,0.07178952852305288,0.062047897101382574,832,0.1,LI-Large
5,3,IBM-Bank3,fedprox,ibm,0.4594875346260388,0.3817335401277063,10001,0.1,LI-Large
10,0,IBM-Bank0,fedprox,ibm,0.43774325222289023,0.37472072185180777,8636,0.1,LI-Large
10,1,IBM-Bank1,fedprox,ibm,0.0,0.0,0,0.1,LI-Large
10,2,IBM-Bank2,fedprox,ibm,0.07508196721311475,0.06594174482130037,832,0.1,LI-Large
