iter	PRAUC	Logloss
0	0.9237336793	0.3938603098
1	0.9177860705	0.3396097547
2	0.9310214991	0.3180814993
3	0.9326518472	0.3092179629
4	0.9375868581	0.297255215
5	0.9423638633	0.285092003
6	0.9462332555	0.2732387894
7	0.9484769391	0.2656669933
8	0.951223138	0.2601370547
9	0.9534045721	0.2535166224
10	0.9550051569	0.2476076525
11	0.9567674659	0.2406234129
12	0.9573117671	0.2390427106
13	0.9579511655	0.2371456147
14	0.958450048	0.2361995769
15	0.9588727155	0.2352009339
16	0.9592401082	0.2337979589
17	0.9595987373	0.232950526
18	0.9600715127	0.231379261
19	0.9603954636	0.2305470553
20	0.9605063775	0.2300407882
21	0.9606439805	0.2295463366
22	0.9607898064	0.2291966453
23	0.9609770977	0.2284235406
24	0.9611640201	0.227950679
25	0.9613030835	0.2273238993
26	0.9613768035	0.226830799
27	0.9614405959	0.2264722691
28	0.9615726795	0.2259981035
29	0.9617215601	0.2255883683
30	0.9618140251	0.2253006075
31	0.96184438	0.2250656354
32	0.9620896089	0.224746559
33	0.9621677827	0.2242870787
34	0.9622354012	0.2239367584
35	0.9623590799	0.2233228131
36	0.9624907008	0.2228862068
37	0.9626986262	0.2221561856
38	0.9627834519	0.2216164541
39	0.9629007543	0.2213523002
40	0.963012834	0.2209733301
41	0.9631495763	0.2207543339
42	0.9631648714	0.2205038592
43	0.9634567773	0.2199423879
44	0.9635268638	0.2196217583
45	0.9636021979	0.2194154945
46	0.963671477	0.2189504738
47	0.9638674194	0.2184632177
48	0.963923389	0.2182096806
49	0.9640719073	0.2178566272
50	0.9641039679	0.2177622543
51	0.9641525237	0.2175721342
52	0.9641845645	0.2172927056
53	0.9642380328	0.2170013127
54	0.9643286074	0.2166523933
55	0.9643672661	0.2163350156
56	0.96455164	0.2160992722
57	0.9645987473	0.2159065366
58	0.9646911843	0.2153844869
59	0.9647690816	0.2150999636
60	0.9647743475	0.2149989462
61	0.9648424084	0.2148144463
62	0.9648965772	0.214651148
63	0.9652366974	0.2141633786
64	0.9654040372	0.2139545124
65	0.9654487851	0.2137528804
66	0.9654972113	0.2135616391
67	0.9655374407	0.213491226
68	0.9655603735	0.2132820938
69	0.9657388422	0.2130955894
70	0.9657810539	0.212811994
71	0.9658433733	0.2125770835
72	0.9659219181	0.2124346073
73	0.9659447226	0.2122695882
74	0.9659815361	0.2119866497
75	0.9660351432	0.2117717568
76	0.9660986875	0.2115157244
77	0.9661629944	0.2112846409
78	0.9661846858	0.2111885949
79	0.9662340706	0.2110066782
80	0.9662774466	0.2108385555
81	0.9663101593	0.2106603738
82	0.9663259481	0.2105892091
83	0.9663740253	0.2103500682
84	0.9664200836	0.2101981113
85	0.9664399054	0.2101169075
86	0.9664702939	0.210059694
87	0.966493729	0.2098940281
88	0.9665083726	0.2098059306
89	0.9666666755	0.2095144503
90	0.9666912529	0.2093646081
91	0.9667218554	0.2092726452
92	0.966745008	0.2091405883
