iter	Passed	Remaining
0	2028	403603
1	3812	377470
2	5763	378471
3	7650	374888
4	9711	378741
5	11711	378673
6	13790	380225
7	15817	379612
8	18080	383718
9	20229	384368
10	22304	383239
11	24471	383385
12	26599	382628
13	28573	379614
14	30589	377273
15	32799	377192
16	34952	376254
17	37128	375406
18	39321	374592
19	41533	373802
20	43629	371885
21	45877	371192
22	48059	369850
23	50163	367868
24	52349	366446
25	54518	364857
26	56716	363408
27	58791	361147
28	61003	359707
29	63272	358546
30	65368	356365
31	67596	354880
32	69869	353580
33	72111	352073
34	74328	350405
35	76541	348688
36	78758	346964
37	80933	345032
38	83125	343161
39	85281	341125
40	87435	339078
41	89748	337626
42	91905	335560
43	94241	334129
44	96625	332820
45	98938	331229
46	101046	328938
47	103319	327178
48	105555	325281
49	107801	323405
50	110106	321682
51	112341	319741
52	114621	317913
53	116865	315970
54	119069	313910
55	121352	312048
56	123695	310323
57	125847	308109
58	128221	306428
59	130406	304282
60	132530	301996
61	134705	299829
62	136900	297703
63	139340	296099
64	141657	294211
65	143942	292245
66	146129	290078
67	148414	288099
68	150736	286180
69	153077	284286
70	155381	282312
71	157682	280324
72	160028	278406
73	162326	276394
74	164635	274392
75	166934	272366
76	169200	270281
77	171514	268265
78	173611	265911
79	176017	264025
80	178255	261882
81	180626	259925
82	182970	257921
83	185244	255813
84	187540	253731
85	189857	251671
86	192093	249500
87	194243	247219
88	196538	245120
89	198845	243033
90	201063	240834
91	203339	238703
92	205684	236647
93	208010	234565
94	210351	232493
95	212647	230367
96	214944	228239
97	217044	225903
98	219450	223883
99	221794	221794
100	224138	219699
101	226410	217531
102	228761	215435
103	231112	213334
104	233277	211060
105	235658	208980
106	238009	206868
107	240379	204767
108	242678	202603
109	245029	200478
110	247444	198401
111	249888	196341
112	252230	194195
113	254438	191945
114	256776	189791
115	259085	187613
116	261422	185453
117	263800	183319
118	266169	181174
119	268492	178994
120	270775	176787
121	273214	174678
122	275548	172498
123	277904	170328
124	280339	168203
125	282645	165997
126	284989	163813
127	287268	161588
128	289726	159461
129	291962	157210
130	294230	154976
131	296652	152821
132	298909	150578
133	301345	148424
134	303602	146179
135	305931	143967
136	308296	141771
137	310679	139580
138	312997	137358
139	315383	135164
140	317791	132976
141	320162	130770
142	322356	128491
143	324719	126279
144	326831	123970
145	329247	121776
146	331573	119546
147	333971	117341
148	336126	115050
149	338516	112838
150	340839	110603
151	343165	108367
152	345433	106113
153	347608	103831
154	350054	101628
155	352362	99384
156	354654	97134
157	356950	94885
158	359395	92674
159	361632	90408
160	363899	88149
161	366277	85916
162	368637	83678
163	370816	81398
164	373212	79166
165	375414	76892
166	377764	74648
167	380132	72406
168	382477	70158
169	384710	67890
170	386976	65627
171	389477	63403
172	391873	61159
173	394148	58895
174	396411	56630
175	398779	54379
176	401108	52121
177	403497	49870
178	405763	47603
179	408018	45335
180	410413	43082
181	412684	40814
182	415062	38557
183	417481	36302
184	419902	34046
185	422360	31790
186	424785	29530
187	427138	27264
188	429632	25005
189	431973	22735
190	434309	20464
191	436461	18185
192	438884	15918
193	441143	13643
194	443344	11367
195	445638	9094
196	447888	6820
197	450320	4548
198	452621	2274
199	455025	0
