round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IBM-Bank0,fedavg,ibm,0.0994627730342377,0.12056911465052211,6682,0.1,HI-Medium
5,1,IBM-Bank1,fedavg,ibm,0.00024361677207776998,0.000260491787503054,13,0.1,HI-Medium
5,2,IBM-Bank2,fedavg,ibm,0.0027913468248429866,0.004819143178296079,171,0.1,HI-Medium
5,3,IBM-Bank3,fedavg,ibm,0.028895881789574498,0.03503854491702378,1785,0.1,HI-Medium
10,0,IBM-Bank0,fedavg,ibm,0.0922532698245233,0.12484891026672415,6682,0.1,HI-Medium
10,1,IBM-Bank1,fedavg,ibm,0.00022131991794138427,0.0002556222934585224,13,0.1,HI-Medium
10,2,IBM-Bank2,fedavg,ibm,0.0025831286246106315,0.0043383983224041245,171,0.1,HI-Medium
10,3,IBM-Bank3,fedavg,ibm,0.026461482274625032,0.036022115441294064,1785,0.1,HI-Medium
15,0,IBM-Bank0,fedavg,ibm,0.10239497447978013,0.12510992963902287,6682,0.1,HI-Medium
15,1,IBM-Bank1,fedavg,ibm,0.00021395991169290918,0.000268793162905674,13,0.1,HI-Medium
15,2,IBM-Bank2,fedavg,ibm,0.0028564811240639233,0.0045083492294924225,171,0.1,HI-Medium
15,3,IBM-Bank3,fedavg,ibm,0.029654970373380458,0.03646206561053471,1785,0.1,HI-Medium
20,0,IBM-Bank0,fedavg,ibm,0.09699644477136202,0.12421212931373841,6682,0.1,HI-Medium
20,1,IBM-Bank1,fedavg,ibm,0.00023488386799526618,0.0001909747994531931,13,0.1,HI-Medium
20,2,IBM-Bank2,fedavg,ibm,0.002740314867551448,0.004387200401631433,171,0.1,HI-Medium
20,3,IBM-Bank3,fedavg,ibm,0.028016577648332115,0.03637858903533623,1785,0.1,HI-Medium
5,0,IBM-Bank0,fedprox,ibm,0.09703985834085062,0.13336401587233027,6682,0.1,HI-Medium
5,1,IBM-Bank1,fedprox,ibm,0.0002224343586939396,0.00036846988985495086,13,0.1,HI-Medium
5,2,IBM-Bank2,fedprox,ibm,0.0026674270366725226,0.005797816723194388,171,0.1,HI-Medium
5,3,IBM-Bank3,fedprox,ibm,0.02803527426007997,0.03850618565550633,1785,0.1,HI-Medium
10,0,IBM-Bank0,fedprox,ibm,0.09270106055636256,0.1216437572046584,6682,0.1,HI-Medium
10,1,IBM-Bank1,fedprox,ibm,0.00022376563132030328,0.00026826613756282227,13,0.1,HI-Medium
10,2,IBM-Bank2,fedprox,ibm,0.0025754293803619244,0.004372888963837969,171,0.1,HI-Medium
10,3,IBM-Bank3,fedprox,ibm,0.026734916505832006,0.034726551656845336,1785,0.1,HI-Medium
15,0,IBM-Bank0,fedprox,ibm,0.0932355158979515,0.12093369465852849,6682,0.1,HI-Medium
15,1,IBM-Bank1,fedprox,ibm,0.00022518621167503898,0.0003390360929587892,13,0.1,HI-Medium
15,2,IBM-Bank2,fedprox,ibm,0.0026097780830149804,0.004354749694699477,171,0.1,HI-Medium
15,3,IBM-Bank3,fedprox,ibm,0.026917809377272034,0.034852503603529775,1785,0.1,HI-Medium
20,0,IBM-Bank0,fedprox,ibm,0.08942661756970016,0.10931211204816818,6682,0.1,HI-Medium
20,1,IBM-Bank1,fedprox,ibm,0.00021427747284445103,0.00020442880441210956,13,0.1,HI-Medium
20,2,IBM-Bank2,fedprox,ibm,0.0024987955152336702,0.003657170653504473,171,0.1,HI-Medium
20,3,IBM-Bank3,fedprox,ibm,0.025630093236905405,0.030917287072090363,1785,0.1,HI-Medium
