round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IBM-Bank0,fedavg,ibm,0.1421834682800961,0.1493840708641772,8066,0.05,HI-Medium
5,1,IBM-Bank1,fedavg,ibm,2.622228632114434e-05,7.434944237918216e-05,1,0.05,HI-Medium
5,2,IBM-Bank2,fedavg,ibm,5.225820780476333e-05,4.833956037461047e-05,2,0.05,HI-Medium
5,3,IBM-Bank3,fedavg,ibm,0.011377541721992242,0.015244982504722797,578,0.05,HI-Medium
10,0,IBM-Bank0,fedavg,ibm,0.14183105485424183,0.11711459161798107,8066,0.05,HI-Medium
10,1,IBM-Bank1,fedavg,ibm,2.69092083310909e-05,4.23405876873571e-05,1,0.05,HI-Medium
10,2,IBM-Bank2,fedavg,ibm,5.360996073070377e-05,9.051296772715899e-05,2,0.05,HI-Medium
10,3,IBM-Bank3,fedavg,ibm,0.011408418718356333,0.010216179465583845,578,0.05,HI-Medium
15,0,IBM-Bank0,fedavg,ibm,0.14335044754418647,0.13983682688492174,8066,0.05,HI-Medium
15,1,IBM-Bank1,fedavg,ibm,2.6844196284763233e-05,3.075503613716746e-05,1,0.05,HI-Medium
15,2,IBM-Bank2,fedavg,ibm,5.345521121490331e-05,8.303604213234252e-05,2,0.05,HI-Medium
15,3,IBM-Bank3,fedavg,ibm,0.01136742671878961,0.014261094252820843,578,0.05,HI-Medium
20,0,IBM-Bank0,fedavg,ibm,0.1350754315985636,0.14249282926764878,8066,0.05,HI-Medium
20,1,IBM-Bank1,fedavg,ibm,2.4447187962204647e-05,5.6246133078350866e-05,1,0.05,HI-Medium
20,2,IBM-Bank2,fedavg,ibm,4.871573152760355e-05,4.4477252582981516e-05,2,0.05,HI-Medium
20,3,IBM-Bank3,fedavg,ibm,0.010760523695013239,0.013790811047257639,578,0.05,HI-Medium
5,0,IBM-Bank0,fedprox,ibm,0.1436978398894989,0.12923653965289678,8066,0.05,HI-Medium
5,1,IBM-Bank1,fedprox,ibm,2.7467622539931057e-05,5.7359183205231155e-05,1,0.05,HI-Medium
5,2,IBM-Bank2,fedprox,ibm,5.466347796378545e-05,5.366871751413695e-05,2,0.05,HI-Medium
5,3,IBM-Bank3,fedprox,ibm,0.011453191895503258,0.012229530513026388,578,0.05,HI-Medium
10,0,IBM-Bank0,fedprox,ibm,0.13782382269007407,0.14070377309443202,8066,0.05,HI-Medium
10,1,IBM-Bank1,fedprox,ibm,2.6115456432889805e-05,0.00017516202487300754,1,0.05,HI-Medium
10,2,IBM-Bank2,fedprox,ibm,5.1964248596965285e-05,3.794525260836679e-05,2,0.05,HI-Medium
10,3,IBM-Bank3,fedprox,ibm,0.01096764156813939,0.013641995843906388,578,0.05,HI-Medium
15,0,IBM-Bank0,fedprox,ibm,0.14567075436640653,0.12112388159840534,8066,0.05,HI-Medium
15,1,IBM-Bank1,fedprox,ibm,2.8520499108734402e-05,4.507346975570179e-05,1,0.05,HI-Medium
15,2,IBM-Bank2,fedprox,ibm,5.674241779442222e-05,5.8024695042983995e-05,2,0.05,HI-Medium
15,3,IBM-Bank3,fedprox,ibm,0.011915375362626476,0.010234489591903435,578,0.05,HI-Medium
20,0,IBM-Bank0,fedprox,ibm,0.1348601313805502,0.14457369043894583,8066,0.05,HI-Medium
20,1,IBM-Bank1,fedprox,ibm,2.459873316524199e-05,8.308408109006314e-05,1,0.05,HI-Medium
20,2,IBM-Bank2,fedprox,ibm,4.893684699894786e-05,4.351256004790716e-05,2,0.05,HI-Medium
20,3,IBM-Bank3,fedprox,ibm,0.010563251133960118,0.013831993113696605,578,0.05,HI-Medium
5,0,IBM-Bank0,fednova,ibm,0.18227580478719388,0.10937097522645631,8066,0.05,HI-Medium
