iter	PRAUC	Logloss
0	0.8657758956	0.4613340137
1	0.8993615574	0.4078121058
2	0.904611855	0.3866090792
3	0.9160489295	0.3643737884
4	0.925926787	0.3429103512
5	0.9320798596	0.3284668406
6	0.9388447736	0.3101562996
7	0.9453891886	0.2939654136
8	0.9481880557	0.2859738952
9	0.9499673755	0.2810462104
10	0.9536808305	0.2701406638
11	0.9545249446	0.2662111873
12	0.9554695385	0.2637884599
13	0.9570099152	0.2582219632
14	0.9576583775	0.255864
15	0.9582923064	0.2535221
16	0.9585287175	0.2517688642
17	0.9590973844	0.2498894909
18	0.9594996971	0.2486840441
19	0.9599957983	0.2461481581
20	0.9602546697	0.244874793
21	0.9608095227	0.2430283065
22	0.9612490075	0.2410068024
23	0.9614105911	0.2399749932
24	0.961590191	0.2392717519
25	0.9618055323	0.2381699671
26	0.9618892682	0.2376934013
27	0.9620134804	0.237075914
28	0.9622839101	0.2357246749
29	0.9625289207	0.2347198719
30	0.9629561569	0.2330332188
31	0.9630650672	0.2324060664
32	0.9632898544	0.2315620463
33	0.9634615018	0.2308280281
34	0.9635075029	0.2305956132
35	0.963676254	0.2297855641
36	0.963847958	0.228807688
37	0.9640484271	0.2276989082
38	0.9642805242	0.2269334252
39	0.9644446714	0.2261362172
40	0.9649912494	0.224909911
41	0.9650627888	0.2245322896
42	0.965190732	0.2239744239
43	0.965331722	0.2234113119
44	0.965419505	0.2229899284
45	0.9657968981	0.2221946774
46	0.9659416122	0.2216662736
47	0.9661690322	0.2206174883
48	0.9663405922	0.2201568409
49	0.9664313082	0.2197739518
50	0.966541441	0.2192602905
51	0.9667754314	0.2186643079
52	0.9668724506	0.2181179731
53	0.9671572435	0.2170883242
54	0.9672141746	0.216548652
55	0.9673153498	0.2160586327
56	0.9673649292	0.2157282574
57	0.9674027315	0.2155489033
58	0.9674543937	0.2153081953
59	0.967629557	0.2149433531
60	0.9677453854	0.2146237809
61	0.9679592506	0.2140475562
62	0.9679972099	0.2138926524
63	0.9681038902	0.2133590645
64	0.9681336177	0.2131682152
65	0.9682348303	0.2126612043
66	0.9683006163	0.2123247807
67	0.9683796189	0.2119680966
68	0.9685314088	0.211419728
69	0.9686687558	0.2108544746
70	0.9687322638	0.2105312381
71	0.9689018609	0.2100867191
72	0.9689642609	0.2096303424
73	0.9690204195	0.2092829907
74	0.9690750475	0.2090407432
75	0.969115984	0.2086313024
76	0.9692854358	0.2080775708
77	0.9693156345	0.2079203051
78	0.9693885302	0.2076016327
79	0.9695011806	0.2073017174
80	0.969569334	0.2070510999
81	0.9696191558	0.2068043444
