iter	Passed	Remaining
0	402	80195
1	783	77606
2	1160	76185
3	1539	75446
4	1943	75804
5	2363	76423
6	2793	77010
7	3221	77304
8	3656	77609
9	4115	78192
10	4590	78874
11	5110	80060
12	5569	80113
13	6039	80240
14	6527	80500
15	7004	80546
16	7486	80586
17	7972	80607
18	8445	80453
19	8928	80359
20	9403	80156
21	9881	79949
22	10364	79764
23	10813	79295
24	11290	79033
25	11770	78769
26	12267	78599
27	12737	78243
28	13206	77872
29	13694	77604
30	14186	77338
31	14719	77278
32	15221	77027
33	15721	76756
34	16203	76389
35	16699	76075
36	17186	75713
37	17679	75369
38	18181	75057
39	18674	74699
40	19162	74312
41	19646	73907
42	20139	73531
43	20601	73040
44	21095	72661
45	21594	72293
46	22085	71896
47	22575	71490
48	23078	71119
49	23570	70710
50	24068	70318
51	24574	69942
52	25105	69632
53	25601	69218
54	26099	68807
55	26604	68412
56	27109	68012
57	27619	67619
58	28122	67208
59	28625	66791
60	29122	66361
61	29632	65956
62	30120	65499
63	30624	65077
64	31126	64648
65	31626	64212
66	32126	63774
67	32633	63347
68	33151	62940
69	33674	62537
70	34184	62109
71	34730	61742
72	35242	61311
73	35742	60858
74	36247	60413
75	36754	59967
76	37260	59520
77	37758	59058
78	38263	58606
79	38777	58166
80	39294	57728
81	39808	57284
82	40303	56813
83	40813	56360
84	41317	55899
85	41824	55441
86	42320	54967
87	42796	54468
88	43302	54006
89	43814	53550
90	44321	53088
91	44855	52656
92	45360	52188
93	45869	51725
94	46389	51272
95	46903	50812
96	47414	50347
97	47923	49879
98	48436	49415
99	48949	48949
100	49435	48456
101	49943	47985
102	50453	47514
103	50969	47048
104	51495	46591
105	52001	46114
106	52483	45616
107	52996	45145
108	53488	44655
109	54000	44182
110	54520	43714
111	55091	43286
112	55582	42793
113	56087	42311
114	56593	41829
115	57115	41359
116	57640	40890
117	58151	40410
118	58652	39923
119	59171	39447
120	59669	38957
121	60176	38473
122	60694	37995
123	61206	37513
124	61733	37040
125	62265	36568
126	62780	36086
127	63267	35588
128	63781	35104
129	64256	34599
130	64798	34130
131	65305	33642
132	65826	33160
133	66347	32678
134	66849	32186
135	67366	31701
136	67880	31215
137	68361	30712
138	68870	30223
139	69401	29743
140	69917	29256
141	70419	28762
142	70919	28268
143	71450	27786
144	71966	27297
145	72471	26804
146	72992	26317
147	73507	25826
148	74022	25336
149	74543	24847
150	75112	24374
151	75637	23885
152	76147	23391
153	76649	22895
154	77172	22404
155	77683	21910
156	78177	21411
157	78696	20919
158	79213	20426
159	79740	19935
160	80253	19440
161	80772	18946
162	81291	18452
163	81809	17958
164	82332	17464
165	82819	16962
166	83331	16466
167	83844	15970
168	84362	15474
169	84912	14984
170	85409	14484
171	85943	13990
172	86467	13494
173	86992	12998
174	87485	12497
175	88003	12000
176	88490	11498
177	89008	11001
178	89533	10503
179	90044	10004
180	90560	9506
181	91072	9007
182	91592	8508
183	92114	8009
184	92624	7510
185	93141	7010
186	93668	6511
187	94172	6011
188	94705	5511
189	95218	5011
190	95709	4509
191	96244	4010
192	96763	3509
193	97288	3008
194	97814	2508
195	98301	2006
196	98809	1504
197	99320	1003
198	99830	501
199	100343	0
