strategy,model_type,f1,precision,recall,auprc,mcc,f2,ap_at_50,ap_at_100,ap_at_200,typ_coverage,typ_wf1,specificity,fpr,false_positives,n_test_fraud,threshold,client_equity,worst_bank_f1,best_bank_f1,collab_gain,n_eval_banks,n_banks_with_fraud,total_test_fraud,dataset,alpha
fedavg,fl,0.034,0.0199,0.4736,0.0178,0.052,0.0591,0.04,0.0425,0.0413,0.425,0.451,0.9697,0.0303,5747.0,390.0,0.175,0.0576,0.0,0.1338,-0.0194,4,4,1560,HI-Small,0.05
fedprox,fl,0.0331,0.0205,0.3894,0.0174,0.0453,0.0526,0.035,0.0425,0.0325,0.425,0.3779,0.9764,0.0236,4477.0,390.0,0.1625,0.0564,0.0,0.1308,-0.0202,4,4,1560,HI-Small,0.05
fednova,fl,0.0,0.0,0.0,0.0163,0.0,0.0,0.045,0.04,0.035,0.0,0.0,1.0,0.0,0.0,390.0,0.1625,0.0,0.0,0.0,-0.0534,4,4,1560,HI-Small,0.05
persfl,fl,0.0461,0.029,0.1398,0.0264,0.0549,0.0714,0.05,0.045,0.0413,0.175,0.0898,0.986,0.014,2658.75,390.0,0.3625,0.0796,0.0,0.1839,-0.0073,4,4,1560,HI-Small,0.05
scaffold,fl,0.0069,0.0316,0.0039,0.0174,0.0103,0.0047,0.06,0.0425,0.0325,0.05,0.0017,0.9993,0.0007,142.5,390.0,0.1625,0.012,0.0,0.0276,-0.0465,4,4,1560,HI-Small,0.05
fedavgm,fl,0.033,0.02,0.2591,0.0159,0.0436,0.0541,0.005,0.0125,0.0175,0.425,0.2913,0.9686,0.0314,5973.5,390.0,0.1625,0.0564,0.0,0.1306,-0.0204,4,4,1560,HI-Small,0.05
xgb,local_expert,0.053,0.0313,0.1711,0.0505,0.0702,0.0904,0.13,0.1025,0.105,0.05,0.0446,0.9888,0.0112,2117.25,390.0,0.375,0.0917,0.0,0.2119,,4,4,1560,HI-Small,0.05
lgbm,local_expert,0.0521,0.0307,0.1715,0.0492,0.0694,0.0894,0.11,0.0925,0.095,0.05,0.0447,0.9815,0.0185,3515.0,390.0,0.375,0.0902,0.0,0.2082,,4,4,1560,HI-Small,0.05
catboost,local_expert,0.0518,0.0309,0.1593,0.0445,0.0672,0.087,0.075,0.075,0.0725,0.05,0.0428,0.9905,0.0095,1796.75,390.0,0.375,0.0897,0.0,0.2071,,4,4,1560,HI-Small,0.05
rf,local_expert,0.0516,0.0304,0.3344,0.0495,0.0736,0.0888,0.135,0.1125,0.0938,0.425,0.3055,0.9756,0.0244,4643.5,390.0,0.425,0.0884,0.0,0.2047,,4,4,1560,HI-Small,0.05
lr,local_expert,0.0398,0.0219,0.489,0.0252,0.0692,0.0777,0.02,0.0175,0.025,0.425,0.4085,0.9395,0.0605,11491.5,390.0,0.7125,0.0684,0.0,0.1582,,4,4,1560,HI-Small,0.05
moe_static,moe,0.0473,0.0284,0.4176,0.0241,0.0645,0.0787,0.055,0.0425,0.0325,0.425,0.3979,0.9456,0.0544,10337.25,390.0,0.2875,0.0814,0.0,0.1883,-0.0061,4,4,1560,HI-Small,0.05
moe_performance,moe,0.0495,0.0311,0.397,0.0252,0.0636,0.0767,0.055,0.0425,0.04,0.425,0.394,0.9591,0.0409,7768.25,390.0,0.3875,0.0851,0.0,0.1968,-0.0039,4,4,1560,HI-Small,0.05
moe_confidence,moe,0.0476,0.0285,0.4206,0.0236,0.0656,0.0796,0.05,0.0425,0.0325,0.425,0.3984,0.9499,0.0501,9523.5,390.0,0.275,0.0819,0.0,0.1895,-0.0058,4,4,1560,HI-Small,0.05
moe_typology_aware,moe,0.0411,0.023,0.3564,0.0213,0.0692,0.0785,0.0,0.0225,0.0325,0.425,0.3087,0.9753,0.0247,4694.5,390.0,0.425,0.0694,0.0,0.1613,-0.0122,4,4,1560,HI-Small,0.05
moe_confidence_aware,moe,0.0473,0.0284,0.4176,0.0241,0.0645,0.0787,0.055,0.0425,0.0325,0.425,0.3979,0.9456,0.0544,10337.25,390.0,0.2875,0.0814,0.0,0.1883,-0.0061,4,4,1560,HI-Small,0.05
moe_expert_choice,moe,0.0473,0.0284,0.4176,0.0241,0.0645,0.0787,0.055,0.0425,0.0325,0.425,0.3979,0.9456,0.0544,10337.25,390.0,0.2875,0.0814,0.0,0.1883,-0.0061,4,4,1560,HI-Small,0.05
moe_multi_gate,moe,0.0473,0.0284,0.4176,0.0241,0.0645,0.0787,0.055,0.0425,0.0325,0.425,0.3979,0.9456,0.0544,10337.25,390.0,0.2875,0.0814,0.0,0.1883,-0.0061,4,4,1560,HI-Small,0.05
fedavg,fl,0.0439,0.0241,0.6239,0.0542,0.0937,0.0879,0.175,0.1275,0.1037,0.2375,0.254,0.9256,0.0744,14148.5,390.0,0.7625,0.065,0.0,0.1564,-0.0125,4,3,1560,HI-Small,0.1
fedprox,fl,0.0425,0.0232,0.6133,0.0536,0.0918,0.0857,0.165,0.1175,0.0875,0.2375,0.252,0.9257,0.0743,14130.5,390.0,0.7875,0.0626,0.0,0.1508,-0.0139,4,3,1560,HI-Small,0.1
fednova,fl,0.0494,0.0279,0.3346,0.0322,0.0835,0.0931,0.065,0.045,0.0475,0.2375,0.1605,0.9637,0.0363,6904.75,390.0,0.7375,0.0695,0.0,0.1694,-0.007,4,3,1560,HI-Small,0.1
persfl,fl,0.0413,0.0224,0.6302,0.0502,0.0912,0.0842,0.17,0.125,0.0875,0.3,0.2735,0.9424,0.0576,10949.75,390.0,0.6875,0.0614,0.0,0.1474,-0.0152,4,3,1560,HI-Small,0.1
scaffold,fl,0.0554,0.0321,0.3563,0.0525,0.0903,0.1,0.125,0.1075,0.085,0.2375,0.1737,0.9633,0.0367,6981.0,390.0,0.7875,0.0784,0.0,0.1907,-0.001,4,3,1560,HI-Small,0.1
fedavgm,fl,0.0437,0.0241,0.5601,0.0346,0.0893,0.086,0.14,0.1,0.0688,0.2375,0.2408,0.9366,0.0634,12058.5,390.0,0.7875,0.064,0.0,0.1544,-0.0127,4,3,1560,HI-Small,0.1
xgb,local_expert,0.054,0.031,0.3459,0.0508,0.0873,0.0983,0.115,0.1125,0.105,0.2375,0.1617,0.9759,0.0241,4568.0,390.0,0.675,0.0813,0.0,0.1945,,4,3,1560,HI-Small,0.1
lgbm,local_expert,0.0551,0.0317,0.3179,0.0492,0.0864,0.0997,0.125,0.1025,0.0938,0.2375,0.1501,0.9784,0.0216,4111.25,390.0,0.675,0.0813,0.0,0.1956,,4,3,1560,HI-Small,0.1
catboost,local_expert,0.0537,0.0312,0.3539,0.0477,0.0855,0.0959,0.085,0.0775,0.0875,0.2375,0.1661,0.9727,0.0273,5185.75,390.0,0.375,0.0828,0.0,0.197,,4,3,1560,HI-Small,0.1
rf,local_expert,0.0535,0.0307,0.4583,0.0482,0.0917,0.0975,0.105,0.09,0.0925,0.2375,0.2099,0.9671,0.0329,6260.5,390.0,0.7125,0.0801,0.0,0.1921,,4,3,1560,HI-Small,0.1
lr,local_expert,0.0424,0.0229,0.4199,0.0252,0.0856,0.0869,0.02,0.015,0.0262,0.2375,0.1815,0.9658,0.0342,6493.0,390.0,0.7875,0.0593,0.0,0.1448,,4,3,1560,HI-Small,0.1
