round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IBM-Bank0,fedavg,ibm,0.0,0.0004922950719998375,9,0.05,HI-Small
5,1,IBM-Bank1,fedavg,ibm,0.0,0.00035385704175513094,1,0.05,HI-Small
5,2,IBM-Bank2,fedavg,ibm,0.0,0.00043627062855654253,3,0.05,HI-Small
5,3,IBM-Bank3,fedavg,ibm,0.058067586863398385,0.06983014058194992,1547,0.05,HI-Small
10,0,IBM-Bank0,fedavg,ibm,0.0,0.0004179302588196097,9,0.05,HI-Small
10,1,IBM-Bank1,fedavg,ibm,0.0,0.00020491803278688525,1,0.05,HI-Small
10,2,IBM-Bank2,fedavg,ibm,0.0,0.00036450198241218376,3,0.05,HI-Small
10,3,IBM-Bank3,fedavg,ibm,0.10715303505272157,0.06613603121488495,1547,0.05,HI-Small
15,0,IBM-Bank0,fedavg,ibm,0.0,0.00042278106176046594,9,0.05,HI-Small
15,1,IBM-Bank1,fedavg,ibm,0.0,0.00020559210526315788,1,0.05,HI-Small
15,2,IBM-Bank2,fedavg,ibm,0.001430615164520744,0.0004359650709156369,3,0.05,HI-Small
15,3,IBM-Bank3,fedavg,ibm,0.08560029017047516,0.0661800330586016,1547,0.05,HI-Small
20,0,IBM-Bank0,fedavg,ibm,0.0,0.0005103900805033474,9,0.05,HI-Small
20,1,IBM-Bank1,fedavg,ibm,0.0,0.0002714440825190011,1,0.05,HI-Small
20,2,IBM-Bank2,fedavg,ibm,0.0,0.0004648001639326352,3,0.05,HI-Small
20,3,IBM-Bank3,fedavg,ibm,0.06310475389145982,0.06514229256967104,1547,0.05,HI-Small
5,0,IBM-Bank0,fedprox,ibm,0.001890359168241966,0.0005231494416342356,9,0.05,HI-Small
5,1,IBM-Bank1,fedprox,ibm,0.0,0.00026048450117218026,1,0.05,HI-Small
5,2,IBM-Bank2,fedprox,ibm,0.0,0.0004600748236697384,3,0.05,HI-Small
5,3,IBM-Bank3,fedprox,ibm,0.0771227289581016,0.06524095225550676,1547,0.05,HI-Small
10,0,IBM-Bank0,fedprox,ibm,0.0,0.0004934203107288591,9,0.05,HI-Small
10,1,IBM-Bank1,fedprox,ibm,0.0,0.00033534540576794097,1,0.05,HI-Small
10,2,IBM-Bank2,fedprox,ibm,0.0,0.0005164037741398757,3,0.05,HI-Small
10,3,IBM-Bank3,fedprox,ibm,0.00253324889170361,0.06839098919610513,1547,0.05,HI-Small
15,0,IBM-Bank0,fedprox,ibm,0.0,0.0004273240445235901,9,0.05,HI-Small
15,1,IBM-Bank1,fedprox,ibm,0.0,0.00022084805653710247,1,0.05,HI-Small
15,2,IBM-Bank2,fedprox,ibm,0.0013149243918474688,0.0007643872660827997,3,0.05,HI-Small
15,3,IBM-Bank3,fedprox,ibm,0.08801020408163265,0.06480437618527787,1547,0.05,HI-Small
20,0,IBM-Bank0,fedprox,ibm,0.0030441400304414,0.000663030515876917,9,0.05,HI-Small
20,1,IBM-Bank1,fedprox,ibm,0.0,0.00028571428571428574,1,0.05,HI-Small
20,2,IBM-Bank2,fedprox,ibm,0.0,0.0003822072666419214,3,0.05,HI-Small
20,3,IBM-Bank3,fedprox,ibm,0.04926108374384237,0.05561308936017916,1547,0.05,HI-Small
5,0,IBM-Bank0,fednova,ibm,0.0,0.0004809902811310205,9,0.05,HI-Small
5,1,IBM-Bank1,fednova,ibm,0.0,0.00037105751391465676,1,0.05,HI-Small
5,2,IBM-Bank2,fednova,ibm,0.0,0.000435355685465988,3,0.05,HI-Small
5,3,IBM-Bank3,fednova,ibm,0.0,0.06351830877740448,1547,0.05,HI-Small
10,0,IBM-Bank0,fednova,ibm,0.0,0.0004785605359386733,9,0.05,HI-Small
10,1,IBM-Bank1,fednova,ibm,0.0,0.00031645569620253165,1,0.05,HI-Small
10,2,IBM-Bank2,fednova,ibm,0.0,0.0004791182963086833,3,0.05,HI-Small
10,3,IBM-Bank3,fednova,ibm,0.0,0.06970646942016746,1547,0.05,HI-Small
15,0,IBM-Bank0,fednova,ibm,0.0,0.000447590288470191,9,0.05,HI-Small
15,1,IBM-Bank1,fednova,ibm,0.0,0.00019113149847094801,1,0.05,HI-Small
15,2,IBM-Bank2,fednova,ibm,0.0,0.002150525138217679,3,0.05,HI-Small
15,3,IBM-Bank3,fednova,ibm,0.0,0.062346862850967064,1547,0.05,HI-Small
20,0,IBM-Bank0,fednova,ibm,0.0,0.00041628176271751237,9,0.05,HI-Small
20,1,IBM-Bank1,fednova,ibm,0.0,0.00019912385503783353,1,0.05,HI-Small
20,2,IBM-Bank2,fednova,ibm,0.0,0.0015075484851400352,3,0.05,HI-Small
20,3,IBM-Bank3,fednova,ibm,0.0,0.05904421530342738,1547,0.05,HI-Small
5,0,IBM-Bank0,persfl,ibm,0.0005544774050457444,0.00040690671532183595,9,0.05,HI-Small
5,1,IBM-Bank1,persfl,ibm,0.0,0.0002495632642874969,1,0.05,HI-Small
5,2,IBM-Bank2,persfl,ibm,0.0,0.0003064095206759828,3,0.05,HI-Small
5,3,IBM-Bank3,persfl,ibm,0.14290843806104128,0.09975106693008781,1547,0.05,HI-Small
10,0,IBM-Bank0,persfl,ibm,0.0005691519635742744,0.00044642664014946706,9,0.05,HI-Small
10,1,IBM-Bank1,persfl,ibm,0.0,0.00026096033402922753,1,0.05,HI-Small
