round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IBM-Bank0,fedavg,ibm,0.0,0.0,0,0.05,LI-Small
5,1,IBM-Bank1,fedavg,ibm,0.010821778829895164,0.003575359058884945,72,0.05,LI-Small
5,2,IBM-Bank2,fedavg,ibm,0.0,0.0,0,0.05,LI-Small
5,3,IBM-Bank3,fedavg,ibm,0.05161656267725468,0.02180872488936056,678,0.05,LI-Small
10,0,IBM-Bank0,fedavg,ibm,0.0,0.0,0,0.05,LI-Small
10,1,IBM-Bank1,fedavg,ibm,0.005627931214174049,0.0020555977619072315,72,0.05,LI-Small
10,2,IBM-Bank2,fedavg,ibm,0.0,0.0,0,0.05,LI-Small
10,3,IBM-Bank3,fedavg,ibm,0.05116903027980069,0.02530621407624891,678,0.05,LI-Small
15,0,IBM-Bank0,fedavg,ibm,0.0,0.0,0,0.05,LI-Small
15,1,IBM-Bank1,fedavg,ibm,0.008423269281389839,0.00748946242097826,72,0.05,LI-Small
15,2,IBM-Bank2,fedavg,ibm,0.0,0.0,0,0.05,LI-Small
15,3,IBM-Bank3,fedavg,ibm,0.05916892502258356,0.02318266920209514,678,0.05,LI-Small
20,0,IBM-Bank0,fedavg,ibm,0.0,0.0,0,0.05,LI-Small
20,1,IBM-Bank1,fedavg,ibm,0.009779951100244499,0.006016373548634747,72,0.05,LI-Small
20,2,IBM-Bank2,fedavg,ibm,0.0,0.0,0,0.05,LI-Small
20,3,IBM-Bank3,fedavg,ibm,0.050381679389312976,0.020602158287035745,678,0.05,LI-Small
5,0,IBM-Bank0,fedprox,ibm,0.0,0.0,0,0.05,LI-Small
5,1,IBM-Bank1,fedprox,ibm,0.004081632653061225,0.0018923913577903113,72,0.05,LI-Small
5,2,IBM-Bank2,fedprox,ibm,0.0,0.0,0,0.05,LI-Small
5,3,IBM-Bank3,fedprox,ibm,0.05296923836157263,0.02138752566829459,678,0.05,LI-Small
10,0,IBM-Bank0,fedprox,ibm,0.0,0.0,0,0.05,LI-Small
10,1,IBM-Bank1,fedprox,ibm,0.007160853998143482,0.0032076228456174825,72,0.05,LI-Small
10,2,IBM-Bank2,fedprox,ibm,0.0,0.0,0,0.05,LI-Small
10,3,IBM-Bank3,fedprox,ibm,0.05125091085742045,0.020056758593832033,678,0.05,LI-Small
15,0,IBM-Bank0,fedprox,ibm,0.0,0.0,0,0.05,LI-Small
15,1,IBM-Bank1,fedprox,ibm,0.005924463095531967,0.0024661134933643275,72,0.05,LI-Small
15,2,IBM-Bank2,fedprox,ibm,0.0,0.0,0,0.05,LI-Small
15,3,IBM-Bank3,fedprox,ibm,0.0544464609800363,0.022151897936938943,678,0.05,LI-Small
20,0,IBM-Bank0,fedprox,ibm,0.0,0.0,0,0.05,LI-Small
20,1,IBM-Bank1,fedprox,ibm,0.00864304235090752,0.0028209596067584326,72,0.05,LI-Small
20,2,IBM-Bank2,fedprox,ibm,0.0,0.0,0,0.05,LI-Small
20,3,IBM-Bank3,fedprox,ibm,0.05499715531955244,0.023686270650966214,678,0.05,LI-Small
5,0,IBM-Bank0,fednova,ibm,0.0,0.0,0,0.05,LI-Small
5,1,IBM-Bank1,fednova,ibm,0.0,0.001438364283167219,72,0.05,LI-Small
5,2,IBM-Bank2,fednova,ibm,0.0,0.0,0,0.05,LI-Small
5,3,IBM-Bank3,fednova,ibm,0.0,0.010963410067670348,678,0.05,LI-Small
10,0,IBM-Bank0,fednova,ibm,0.0,0.0,0,0.05,LI-Small
10,1,IBM-Bank1,fednova,ibm,0.0,0.002845048805140866,72,0.05,LI-Small
10,2,IBM-Bank2,fednova,ibm,0.0,0.0,0,0.05,LI-Small
10,3,IBM-Bank3,fednova,ibm,0.0,0.019586396580282918,678,0.05,LI-Small
15,0,IBM-Bank0,fednova,ibm,0.0,0.0,0,0.05,LI-Small
15,1,IBM-Bank1,fednova,ibm,0.0,0.005024410550605499,72,0.05,LI-Small
15,2,IBM-Bank2,fednova,ibm,0.0,0.0,0,0.05,LI-Small
15,3,IBM-Bank3,fednova,ibm,0.0,0.01581986176537891,678,0.05,LI-Small
20,0,IBM-Bank0,fednova,ibm,0.0,0.0,0,0.05,LI-Small
20,1,IBM-Bank1,fednova,ibm,0.0,0.0014748498299323998,72,0.05,LI-Small
20,2,IBM-Bank2,fednova,ibm,0.0,0.0,0,0.05,LI-Small
20,3,IBM-Bank3,fednova,ibm,0.0,0.014071576934865448,678,0.05,LI-Small
5,0,IBM-Bank0,persfl,ibm,0.0,0.0,0,0.05,LI-Small
5,1,IBM-Bank1,persfl,ibm,0.004262055528494886,0.0026344714222484907,72,0.05,LI-Small
5,2,IBM-Bank2,persfl,ibm,0.0,0.0,0,0.05,LI-Small
5,3,IBM-Bank3,persfl,ibm,0.042067557999083675,0.03510095988203929,678,0.05,LI-Small
10,0,IBM-Bank0,persfl,ibm,0.0,0.0,0,0.05,LI-Small
10,1,IBM-Bank1,persfl,ibm,0.004026014245896562,0.0021407267225573437,72,0.05,LI-Small
10,2,IBM-Bank2,persfl,ibm,0.0,0.0,0,0.05,LI-Small
