round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha,dataset
5,0,IEEE-Bank0,fedavg,ieee,0.40426563257392145,0.41490212899025664,1178,0.5,ieee_cis
5,1,IEEE-Bank1,fedavg,ieee,0.283203125,0.27979753720991846,393,0.5,ieee_cis
5,2,IEEE-Bank2,fedavg,ieee,0.02348993288590604,0.20617179422705476,11,0.5,ieee_cis
5,3,IEEE-Bank3,fedavg,ieee,0.44552450384771164,0.4583159997916189,1502,0.5,ieee_cis
10,0,IEEE-Bank0,fedavg,ieee,0.40426563257392145,0.41490212899025664,1178,0.5,ieee_cis
10,1,IEEE-Bank1,fedavg,ieee,0.283203125,0.27979753720991846,393,0.5,ieee_cis
10,2,IEEE-Bank2,fedavg,ieee,0.02348993288590604,0.20617179422705476,11,0.5,ieee_cis
10,3,IEEE-Bank3,fedavg,ieee,0.44552450384771164,0.4583159997916189,1502,0.5,ieee_cis
15,0,IEEE-Bank0,fedavg,ieee,0.40426563257392145,0.41490212899025664,1178,0.5,ieee_cis
15,1,IEEE-Bank1,fedavg,ieee,0.283203125,0.27979753720991846,393,0.5,ieee_cis
15,2,IEEE-Bank2,fedavg,ieee,0.02348993288590604,0.20617179422705476,11,0.5,ieee_cis
15,3,IEEE-Bank3,fedavg,ieee,0.44552450384771164,0.4583159997916189,1502,0.5,ieee_cis
20,0,IEEE-Bank0,fedavg,ieee,0.40426563257392145,0.41490212899025664,1178,0.5,ieee_cis
20,1,IEEE-Bank1,fedavg,ieee,0.283203125,0.27979753720991846,393,0.5,ieee_cis
20,2,IEEE-Bank2,fedavg,ieee,0.02348993288590604,0.20617179422705476,11,0.5,ieee_cis
20,3,IEEE-Bank3,fedavg,ieee,0.44552450384771164,0.4583159997916189,1502,0.5,ieee_cis
5,0,IEEE-Bank0,fedprox,ieee,0.42161747796090454,0.4634242777219627,1178,0.5,ieee_cis
5,1,IEEE-Bank1,fedprox,ieee,0.22925373134328358,0.33476949442298853,393,0.5,ieee_cis
5,2,IEEE-Bank2,fedprox,ieee,0.012364760432766615,0.16925398516742826,11,0.5,ieee_cis
5,3,IEEE-Bank3,fedprox,ieee,0.47142395866968034,0.507483500700939,1502,0.5,ieee_cis
10,0,IEEE-Bank0,fedprox,ieee,0.42161747796090454,0.4634242777219627,1178,0.5,ieee_cis
10,1,IEEE-Bank1,fedprox,ieee,0.22925373134328358,0.3347694944229886,393,0.5,ieee_cis
10,2,IEEE-Bank2,fedprox,ieee,0.012364760432766615,0.16925398516742826,11,0.5,ieee_cis
10,3,IEEE-Bank3,fedprox,ieee,0.47142395866968034,0.507483500700939,1502,0.5,ieee_cis
15,0,IEEE-Bank0,fedprox,ieee,0.42161747796090454,0.4634242777219627,1178,0.5,ieee_cis
15,1,IEEE-Bank1,fedprox,ieee,0.22925373134328358,0.3347694944229886,393,0.5,ieee_cis
15,2,IEEE-Bank2,fedprox,ieee,0.012364760432766615,0.16925398516742826,11,0.5,ieee_cis
15,3,IEEE-Bank3,fedprox,ieee,0.47142395866968034,0.507483500700939,1502,0.5,ieee_cis
20,0,IEEE-Bank0,fedprox,ieee,0.42161747796090454,0.4634242777219627,1178,0.5,ieee_cis
20,1,IEEE-Bank1,fedprox,ieee,0.22925373134328358,0.3347694944229886,393,0.5,ieee_cis
20,2,IEEE-Bank2,fedprox,ieee,0.012364760432766615,0.16925398516742826,11,0.5,ieee_cis
20,3,IEEE-Bank3,fedprox,ieee,0.47142395866968034,0.507483500700939,1502,0.5,ieee_cis
5,0,IEEE-Bank0,fednova,ieee,0.40426563257392145,0.4149107978082125,1178,0.5,ieee_cis
5,1,IEEE-Bank1,fednova,ieee,0.283203125,0.27980625473917137,393,0.5,ieee_cis
5,2,IEEE-Bank2,fednova,ieee,0.02348993288590604,0.20617205577258338,11,0.5,ieee_cis
5,3,IEEE-Bank3,fednova,ieee,0.44552450384771164,0.4583298430680177,1502,0.5,ieee_cis
10,0,IEEE-Bank0,fednova,ieee,0.40426563257392145,0.41491079780821255,1178,0.5,ieee_cis
10,1,IEEE-Bank1,fednova,ieee,0.283203125,0.27980625473917137,393,0.5,ieee_cis
10,2,IEEE-Bank2,fednova,ieee,0.02348993288590604,0.20617205577258338,11,0.5,ieee_cis
10,3,IEEE-Bank3,fednova,ieee,0.44552450384771164,0.45833011054369294,1502,0.5,ieee_cis
15,0,IEEE-Bank0,fednova,ieee,0.40426563257392145,0.41491079780821255,1178,0.5,ieee_cis
15,1,IEEE-Bank1,fednova,ieee,0.283203125,0.27980625473917137,393,0.5,ieee_cis
15,2,IEEE-Bank2,fednova,ieee,0.02348993288590604,0.20617205577258338,11,0.5,ieee_cis
15,3,IEEE-Bank3,fednova,ieee,0.44552450384771164,0.4583298430680177,1502,0.5,ieee_cis
20,0,IEEE-Bank0,fednova,ieee,0.40426563257392145,0.4149107978082126,1178,0.5,ieee_cis
20,1,IEEE-Bank1,fednova,ieee,0.283203125,0.27980625473917137,393,0.5,ieee_cis
20,2,IEEE-Bank2,fednova,ieee,0.02348993288590604,0.20617205577258338,11,0.5,ieee_cis
20,3,IEEE-Bank3,fednova,ieee,0.44552450384771164,0.45833009410379455,1502,0.5,ieee_cis
5,0,IEEE-Bank0,persfl,ieee,0.40351578106272473,0.4243084244024833,1178,0.5,ieee_cis
5,1,IEEE-Bank1,persfl,ieee,0.28545454545454546,0.3044945451960554,393,0.5,ieee_cis
5,2,IEEE-Bank2,persfl,ieee,0.06666666666666667,0.2309418554274788,11,0.5,ieee_cis
5,3,IEEE-Bank3,persfl,ieee,0.47988999656239256,0.5062482766358676,1502,0.5,ieee_cis
10,0,IEEE-Bank0,persfl,ieee,0.40351578106272473,0.4243084244024833,1178,0.5,ieee_cis
10,1,IEEE-Bank1,persfl,ieee,0.28545454545454546,0.3044945451960554,393,0.5,ieee_cis
10,2,IEEE-Bank2,persfl,ieee,0.06666666666666667,0.2309418554274788,11,0.5,ieee_cis
10,3,IEEE-Bank3,persfl,ieee,0.47988999656239256,0.5062482766358676,1502,0.5,ieee_cis
15,0,IEEE-Bank0,persfl,ieee,0.40351578106272473,0.4243084244024833,1178,0.5,ieee_cis
15,1,IEEE-Bank1,persfl,ieee,0.28545454545454546,0.3044945451960554,393,0.5,ieee_cis
15,2,IEEE-Bank2,persfl,ieee,0.06666666666666667,0.2309418554274788,11,0.5,ieee_cis
15,3,IEEE-Bank3,persfl,ieee,0.47988999656239256,0.5062482766358676,1502,0.5,ieee_cis
20,0,IEEE-Bank0,persfl,ieee,0.40351578106272473,0.4243084244024833,1178,0.5,ieee_cis
20,1,IEEE-Bank1,persfl,ieee,0.28545454545454546,0.3044945451960554,393,0.5,ieee_cis
20,2,IEEE-Bank2,persfl,ieee,0.06666666666666667,0.2309418554274788,11,0.5,ieee_cis
20,3,IEEE-Bank3,persfl,ieee,0.47988999656239256,0.5062482766358676,1502,0.5,ieee_cis
5,0,IEEE-Bank0,scaffold,ieee,0.40426563257392145,0.41491567459420486,1178,0.5,ieee_cis
5,1,IEEE-Bank1,scaffold,ieee,0.283203125,0.279813234899855,393,0.5,ieee_cis
5,2,IEEE-Bank2,scaffold,ieee,0.02348993288590604,0.2061722959470461,11,0.5,ieee_cis
5,3,IEEE-Bank3,scaffold,ieee,0.44552450384771164,0.458332383157382,1502,0.5,ieee_cis
10,0,IEEE-Bank0,scaffold,ieee,0.40426563257392145,0.41491569034208403,1178,0.5,ieee_cis
10,1,IEEE-Bank1,scaffold,ieee,0.283203125,0.2798132645401534,393,0.5,ieee_cis
10,2,IEEE-Bank2,scaffold,ieee,0.02348993288590604,0.2061722959470461,11,0.5,ieee_cis
10,3,IEEE-Bank3,scaffold,ieee,0.44552450384771164,0.4583322255078352,1502,0.5,ieee_cis
15,0,IEEE-Bank0,scaffold,ieee,0.40426563257392145,0.41491569034208403,1178,0.5,ieee_cis
15,1,IEEE-Bank1,scaffold,ieee,0.283203125,0.279813234899855,393,0.5,ieee_cis
15,2,IEEE-Bank2,scaffold,ieee,0.02348993288590604,0.2061722959470461,11,0.5,ieee_cis
15,3,IEEE-Bank3,scaffold,ieee,0.44552450384771164,0.4583336153012998,1502,0.5,ieee_cis
20,0,IEEE-Bank0,scaffold,ieee,0.40426563257392145,0.41491568202339946,1178,0.5,ieee_cis
20,1,IEEE-Bank1,scaffold,ieee,0.283203125,0.279813234899855,393,0.5,ieee_cis
20,2,IEEE-Bank2,scaffold,ieee,0.02348993288590604,0.2061722959470461,11,0.5,ieee_cis
20,3,IEEE-Bank3,scaffold,ieee,0.44552450384771164,0.4583333439988064,1502,0.5,ieee_cis
5,0,IEEE-Bank0,fedavgm,ieee,0.02510460251046025,0.13701130635766123,1178,0.5,ieee_cis
5,1,IEEE-Bank1,fedavgm,ieee,0.015037593984962405,0.0689805042550254,393,0.5,ieee_cis
