iter	Passed	Remaining
0	309	61555
1	612	60622
2	911	59869
3	1206	59102
4	1522	59374
5	1830	59192
6	2141	59034
7	2442	58608
8	2744	58242
9	3040	57770
10	3349	57552
11	3671	57526
12	4001	57553
13	4313	57305
14	4637	57192
15	4959	57038
16	5278	56821
17	5600	56625
18	5937	56560
19	6260	56344
20	6596	56228
21	6933	56102
22	7281	56036
23	7603	55762
24	7923	55463
25	8261	55291
26	8584	55004
27	8909	54730
28	9227	54408
29	9550	54119
30	9883	53883
31	10213	53621
32	10556	53424
33	10900	53221
34	11217	52881
35	11562	52675
36	11901	52432
37	12230	52139
38	12565	51870
39	12907	51628
40	13254	51402
41	13599	51159
42	13941	50901
43	14287	50656
44	14630	50394
45	14931	49987
46	15251	49648
47	15564	49288
48	15910	49031
49	16244	48732
50	16544	48336
51	16868	48009
52	17201	47708
53	17585	47546
54	17900	47191
55	18239	46901
56	18592	46643
57	18942	46377
58	19264	46038
59	19622	45785
60	19969	45504
61	20319	45226
62	20665	44938
63	20999	44624
64	21350	44343
65	21694	44046
66	22047	43765
67	22397	43477
68	22748	43189
69	23103	42906
70	23430	42570
71	23747	42217
72	24059	41856
73	24371	41497
74	24730	41217
75	25037	40849
76	25343	40483
77	25656	40128
78	25956	39756
79	26260	39390
80	26564	39026
81	26867	38663
82	27179	38313
83	27536	38026
84	27844	37671
85	28154	37320
86	28457	36961
87	28761	36605
88	29065	36250
89	29365	35891
90	29669	35538
91	29971	35184
92	30276	34834
93	30579	34483
94	30878	34129
95	31180	33779
96	31486	33434
97	31789	33087
98	32093	32741
99	32393	32393
100	32698	32050
101	32997	31703
102	33300	31360
103	33602	31017
104	33900	30671
105	34199	30328
106	34499	29985
107	34799	29644
108	35099	29303
109	35398	28962
110	35701	28625
111	36001	28286
112	36296	27945
113	36597	27608
114	36895	27270
115	37204	26941
116	37548	26636
117	37842	26297
118	38142	25962
119	38437	25625
120	38734	25289
121	39031	24954
122	39329	24621
123	39627	24287
124	39925	23955
125	40223	23623
126	40516	23288
127	40813	22957
128	41112	22627
129	41410	22298
130	41709	21969
131	42007	21640
132	42308	21313
133	42609	20986
134	42907	20658
135	43204	20331
136	43501	20004
137	43801	19678
138	44100	19353
139	44400	19028
140	44704	18705
141	45001	18381
142	45298	18055
143	45598	17732
144	45897	17409
145	46197	17086
146	46496	16764
147	46793	16440
148	47112	16125
149	47464	15821
150	47767	15500
151	48066	15178
152	48363	14856
153	48666	14536
154	48972	14217
155	49278	13899
156	49585	13580
157	49888	13261
158	50187	12941
159	50489	12622
160	50794	12304
161	51093	11984
162	51393	11666
163	51694	11347
164	51993	11028
165	52294	10710
166	52597	10393
167	52897	10075
168	53195	9757
169	53491	9439
170	53791	9122
171	54089	8805
172	54388	8488
173	54687	8171
174	54987	7855
175	55288	7539
176	55588	7223
177	55888	6907
178	56185	6591
179	56486	6276
180	56786	5961
181	57092	5646
182	57448	5336
183	57750	5021
184	58048	4706
185	58351	4392
186	58655	4077
187	58955	3763
188	59255	3448
189	59551	3134
190	59853	2820
191	60156	2506
192	60462	2192
193	60768	1879
194	61067	1565
195	61366	1252
196	61668	939
197	61967	625
198	62266	312
199	62567	0
