strategy,model_type,f1,precision,recall,auprc,mcc,f2,ap_at_50,ap_at_100,ap_at_200,typ_coverage,typ_wf1,specificity,fpr,false_positives,n_test_fraud,threshold,client_equity,worst_bank_f1,best_bank_f1,collab_gain,n_eval_banks,n_banks_with_fraud,total_test_fraud,dataset,alpha
fedavg,fl,0.4467,0.5103,0.6229,0.7358,0.4613,0.4293,0.604,0.602,0.549,0.8,0.4857,0.9973,0.0027,515.8,801.2,0.55,0.3658,0.0,0.8059,-0.0286,5,5,4006,PaySim,0.05
fedprox,fl,0.3952,0.4451,0.5884,0.698,0.4104,0.3876,0.604,0.594,0.521,0.8,0.4608,0.9972,0.0028,531.0,801.2,0.54,0.3314,0.0,0.7703,-0.0802,5,5,4006,PaySim,0.05
fednova,fl,0.4063,0.4392,0.6534,0.7341,0.4294,0.4183,0.604,0.602,0.55,0.8,0.5085,0.9964,0.0036,688.2,801.2,0.57,0.3517,0.0,0.8093,-0.0691,5,5,4006,PaySim,0.05
persfl,fl,0.0082,0.0042,1.0,0.0042,0.0,0.0198,0.184,0.192,0.196,1.0,0.6,0.0,1.0,190078.4,801.2,0.23,0.0131,0.0,0.0342,-0.4671,5,5,4006,PaySim,0.05
xgb,local_expert,0.4681,0.4001,0.9885,0.5711,0.4805,0.5301,0.6,0.6,0.562,1.0,0.5944,0.5991,0.4009,76418.0,801.2,0.74,0.3962,0.0,0.9516,,5,5,4006,PaySim,0.05
lgbm,local_expert,0.459,0.3902,0.9835,0.5689,0.4721,0.5225,0.6,0.6,0.559,1.0,0.592,0.599,0.401,76434.2,801.2,0.74,0.391,0.0,0.9445,,5,5,4006,PaySim,0.05
catboost,local_expert,0.4726,0.4074,0.9892,0.5662,0.4847,0.5323,0.6,0.6,0.558,1.0,0.5948,0.5992,0.4008,76403.0,801.2,0.74,0.4015,0.0,0.9582,,5,5,4006,PaySim,0.05
moe_static,moe,0.507,0.5681,0.6674,0.7563,0.5174,0.4819,0.604,0.602,0.553,0.8,0.5212,0.997,0.003,577.6,801.2,0.64,0.4187,0.0,0.9592,0.0317,5,5,4006,PaySim,0.05
moe_performance,moe,0.4971,0.4666,0.7456,0.7569,0.5065,0.5236,0.604,0.602,0.554,0.8,0.5704,0.9968,0.0032,609.2,801.2,0.66,0.4144,0.0,0.9637,0.0218,5,5,4006,PaySim,0.05
moe_confidence,moe,0.4942,0.4798,0.731,0.7563,0.5047,0.5132,0.604,0.602,0.553,0.8,0.5609,0.9968,0.0032,605.8,801.2,0.65,0.4125,0.0,0.9623,0.0188,5,5,4006,PaySim,0.05
