strategy,round,bank,auprc,alpha
fedavg,1,PaySim-Bank0,0.8590254314298528,0.1
fedavg,1,PaySim-Bank1,0.895990989888418,0.1
fedavg,1,PaySim-Bank2,1.0,0.1
fedavg,1,PaySim-Bank3,1.0,0.1
fedavg,1,PaySim-Bank4,0.8871162894048832,0.1
fedavg,2,PaySim-Bank0,0.8567548814263882,0.1
fedavg,2,PaySim-Bank1,0.885851671621182,0.1
fedavg,2,PaySim-Bank2,1.0,0.1
fedavg,2,PaySim-Bank3,1.0,0.1
fedavg,2,PaySim-Bank4,0.8817705884220151,0.1
fedavg,3,PaySim-Bank0,0.8347139474237935,0.1
fedavg,3,PaySim-Bank1,0.921346576261756,0.1
fedavg,3,PaySim-Bank2,1.0,0.1
fedavg,3,PaySim-Bank3,1.0,0.1
fedavg,3,PaySim-Bank4,0.8684433888189863,0.1
fedavg,4,PaySim-Bank0,0.83051163820835,0.1
fedavg,4,PaySim-Bank1,0.8953644123893536,0.1
fedavg,4,PaySim-Bank2,1.0,0.1
fedavg,4,PaySim-Bank3,1.0,0.1
fedavg,4,PaySim-Bank4,0.8626393155529805,0.1
fedavg,5,PaySim-Bank0,0.8661035884836001,0.1
fedavg,5,PaySim-Bank1,0.8771883257434934,0.1
fedavg,5,PaySim-Bank2,1.0,0.1
fedavg,5,PaySim-Bank3,1.0,0.1
fedavg,5,PaySim-Bank4,0.8738891801474189,0.1
fedavg,6,PaySim-Bank0,0.8657729450501429,0.1
fedavg,6,PaySim-Bank1,0.9049854098393545,0.1
fedavg,6,PaySim-Bank2,1.0,0.1
fedavg,6,PaySim-Bank3,1.0,0.1
fedavg,6,PaySim-Bank4,0.8844293669394468,0.1
fedavg,7,PaySim-Bank0,0.8577070321222956,0.1
fedavg,7,PaySim-Bank1,0.9003341988590993,0.1
fedavg,7,PaySim-Bank2,1.0,0.1
fedavg,7,PaySim-Bank3,1.0,0.1
fedavg,7,PaySim-Bank4,0.8769168730594444,0.1
fedavg,8,PaySim-Bank0,0.8321377905309563,0.1
fedavg,8,PaySim-Bank1,0.9077434790084167,0.1
fedavg,8,PaySim-Bank2,1.0,0.1
fedavg,8,PaySim-Bank3,1.0,0.1
fedavg,8,PaySim-Bank4,0.8686245600998944,0.1
fedavg,9,PaySim-Bank0,0.8319142225290863,0.1
fedavg,9,PaySim-Bank1,0.9117038698103713,0.1
fedavg,9,PaySim-Bank2,1.0,0.1
fedavg,9,PaySim-Bank3,1.0,0.1
fedavg,9,PaySim-Bank4,0.8586298618722814,0.1
fedavg,10,PaySim-Bank0,0.8756614594134985,0.1
fedavg,10,PaySim-Bank1,0.8957312724893157,0.1
fedavg,10,PaySim-Bank2,1.0,0.1
fedavg,10,PaySim-Bank3,1.0,0.1
fedavg,10,PaySim-Bank4,0.8890206414368695,0.1
fedavg,11,PaySim-Bank0,0.8533505357663096,0.1
fedavg,11,PaySim-Bank1,0.917283740467713,0.1
fedavg,11,PaySim-Bank2,1.0,0.1
fedavg,11,PaySim-Bank3,1.0,0.1
fedavg,11,PaySim-Bank4,0.880737979521962,0.1
fedavg,12,PaySim-Bank0,0.8119577514911221,0.1
fedavg,12,PaySim-Bank1,0.9006695023648701,0.1
fedavg,12,PaySim-Bank2,1.0,0.1
fedavg,12,PaySim-Bank3,1.0,0.1
fedavg,12,PaySim-Bank4,0.8513659963289986,0.1
fedavg,13,PaySim-Bank0,0.800083898833543,0.1
fedavg,13,PaySim-Bank1,0.8849952532054359,0.1
fedavg,13,PaySim-Bank2,1.0,0.1
fedavg,13,PaySim-Bank3,1.0,0.1
fedavg,13,PaySim-Bank4,0.8392513480602833,0.1
fedavg,14,PaySim-Bank0,0.860225360655332,0.1
fedavg,14,PaySim-Bank1,0.9031460879646895,0.1
fedavg,14,PaySim-Bank2,1.0,0.1
fedavg,14,PaySim-Bank3,1.0,0.1
fedavg,14,PaySim-Bank4,0.8800489724620052,0.1
fedavg,15,PaySim-Bank0,0.8447205070234266,0.1
fedavg,15,PaySim-Bank1,0.902703985356117,0.1
fedavg,15,PaySim-Bank2,1.0,0.1
fedavg,15,PaySim-Bank3,1.0,0.1
fedavg,15,PaySim-Bank4,0.8784408359970042,0.1
fedavg,16,PaySim-Bank0,0.8035001413712859,0.1
fedavg,16,PaySim-Bank1,0.9060725886541543,0.1
fedavg,16,PaySim-Bank2,1.0,0.1
fedavg,16,PaySim-Bank3,1.0,0.1
fedavg,16,PaySim-Bank4,0.8407278756557366,0.1
fedavg,17,PaySim-Bank0,0.8359362521659263,0.1
fedavg,17,PaySim-Bank1,0.9118373587564144,0.1
fedavg,17,PaySim-Bank2,1.0,0.1
fedavg,17,PaySim-Bank3,1.0,0.1
fedavg,17,PaySim-Bank4,0.8688286583559033,0.1
