strategy,dataset,alpha,auprc_mean,auprc_std,n_seeds
catboost,ULB,0.05,0.31752,0.11386152554748247,5
catboost,ULB,0.1,0.42190000000000005,0.11327091418365086,5
catboost,ULB,0.5,0.56508,0.1565925988033917,5
fedavg,ULB,0.05,0.31761999999999996,0.11117705248836199,5
fedavg,ULB,0.1,0.42516,0.11069258331071692,5
fedavg,ULB,0.5,0.60896,0.15103020558815375,5
fednova,ULB,0.05,0.31316,0.11326858787854646,5
fednova,ULB,0.1,0.4229200000000001,0.11293439245863063,5
fednova,ULB,0.5,0.6107,0.15098970163557512,5
fedprox,ULB,0.05,0.31945999999999997,0.11292343866531875,5
fedprox,ULB,0.1,0.44914,0.09296885499994072,5
fedprox,ULB,0.5,0.6037399999999999,0.14846044254278642,5
lgbm,ULB,0.05,0.32238,0.11397138676001095,5
lgbm,ULB,0.1,0.4379799999999999,0.09878664889548587,5
lgbm,ULB,0.5,0.56692,0.15296789532447652,5
moe_confidence,ULB,0.05,0.32561999999999997,0.11445980517194672,5
moe_confidence,ULB,0.1,0.45302,0.09303102708236646,5
moe_confidence,ULB,0.5,0.6120599999999999,0.15105915397618244,5
moe_performance,ULB,0.05,0.32572,0.11451730000309995,5
moe_performance,ULB,0.1,0.4525,0.09342108969606382,5
moe_performance,ULB,0.5,0.61188,0.15123986577619009,5
moe_static,ULB,0.05,0.32561999999999997,0.11445980517194672,5
moe_static,ULB,0.1,0.45302,0.09303102708236646,5
moe_static,ULB,0.5,0.6120599999999999,0.15105915397618244,5
moe_typology_aware,ULB,0.05,0.32564000000000004,0.1145527738642762,5
moe_typology_aware,ULB,0.1,0.45255999999999996,0.09337166593779937,5
moe_typology_aware,ULB,0.5,0.61198,0.1512052975262441,5
persfl,ULB,0.05,0.32656,0.11556813142038769,5
persfl,ULB,0.1,0.43561999999999995,0.10807410420632685,5
persfl,ULB,0.5,0.59044,0.12196599116147094,5
xgb,ULB,0.05,0.32434,0.11519191811928474,5
xgb,ULB,0.1,0.43076,0.10031848284339233,5
xgb,ULB,0.5,0.5738,0.15106592931564683,5
