dataset,alpha,fn_fp_ratio,auprc_best,cost_best,flip,money_left
ULB,0.05,10,persfl,persfl,False,0.0
ULB,0.05,25,persfl,moe_confidence,True,1.1
ULB,0.05,50,persfl,moe_confidence,True,3.4
ULB,0.05,100,persfl,moe_typology_aware,True,8.3
ULB,0.05,200,persfl,moe_typology_aware,True,18.8
ULB,0.05,500,persfl,moe_typology_aware,True,50.1
ULB,0.05,1000,persfl,moe_typology_aware,True,102.2
ULB,0.05,2000,persfl,moe_typology_aware,True,206.4
ULB,0.05,5000,persfl,moe_typology_aware,True,519.2
ULB,0.1,10,moe_confidence,fedprox,True,2.7
ULB,0.1,25,moe_confidence,fedprox,True,2.1
ULB,0.1,50,moe_confidence,moe_performance,True,1.3
ULB,0.1,100,moe_confidence,moe_performance,True,1.9
ULB,0.1,200,moe_confidence,moe_performance,True,3.2
ULB,0.1,500,moe_confidence,moe_performance,True,6.9
ULB,0.1,1000,moe_confidence,moe_performance,True,13.2
ULB,0.1,2000,moe_confidence,moe_performance,True,25.7
ULB,0.1,5000,moe_confidence,moe_performance,True,63.3
ULB,0.5,10,moe_confidence,moe_confidence,False,0.0
ULB,0.5,25,moe_confidence,moe_confidence,False,0.0
ULB,0.5,50,moe_confidence,moe_confidence,False,0.0
ULB,0.5,100,moe_confidence,moe_confidence,False,0.0
ULB,0.5,200,moe_confidence,moe_confidence,False,0.0
ULB,0.5,500,moe_confidence,moe_confidence,False,0.0
ULB,0.5,1000,moe_confidence,moe_confidence,False,0.0
ULB,0.5,2000,moe_confidence,moe_confidence,False,0.0
ULB,0.5,5000,moe_confidence,moe_confidence,False,0.0
