strategy,dataset,alpha,fn_fp_ratio,TP,FN,FP,expected_loss,auprc
catboost,ULB,0.05,10,4.7,8.3,3735,3818.6,0.31752
catboost,ULB,0.05,25,4.7,8.3,3735,3943.7,0.31752
catboost,ULB,0.05,50,4.7,8.3,3735,4152.3,0.31752
catboost,ULB,0.05,100,4.7,8.3,3735,4569.5,0.31752
catboost,ULB,0.05,200,4.7,8.3,3735,5403.8,0.31752
catboost,ULB,0.05,500,4.7,8.3,3735,7906.9,0.31752
catboost,ULB,0.05,1000,4.7,8.3,3735,12078.5,0.31752
catboost,ULB,0.05,2000,4.7,8.3,3735,20422.0,0.31752
catboost,ULB,0.05,5000,4.7,8.3,3735,45452.1,0.31752
fedavg,ULB,0.05,10,3.7,9.3,1,93.6,0.31761999999999996
fedavg,ULB,0.05,25,3.7,9.3,1,232.5,0.31761999999999996
fedavg,ULB,0.05,50,3.7,9.3,1,463.9,0.31761999999999996
fedavg,ULB,0.05,100,3.7,9.3,1,926.7,0.31761999999999996
fedavg,ULB,0.05,200,3.7,9.3,1,1852.4,0.31761999999999996
fedavg,ULB,0.05,500,3.7,9.3,1,4629.4,0.31761999999999996
fedavg,ULB,0.05,1000,3.7,9.3,1,9257.8,0.31761999999999996
fedavg,ULB,0.05,2000,3.7,9.3,1,18514.6,0.31761999999999996
fedavg,ULB,0.05,5000,3.7,9.3,1,46285.0,0.31761999999999996
fednova,ULB,0.05,10,3.2,9.8,0,98.1,0.31316
fednova,ULB,0.05,25,3.2,9.8,0,245.0,0.31316
fednova,ULB,0.05,50,3.2,9.8,0,489.8,0.31316
fednova,ULB,0.05,100,3.2,9.8,0,979.4,0.31316
fednova,ULB,0.05,200,3.2,9.8,0,1958.6,0.31316
fednova,ULB,0.05,500,3.2,9.8,0,4896.3,0.31316
fednova,ULB,0.05,1000,3.2,9.8,0,9792.3,0.31316
fednova,ULB,0.05,2000,3.2,9.8,0,19584.4,0.31316
fednova,ULB,0.05,5000,3.2,9.8,0,48960.8,0.31316
fedprox,ULB,0.05,10,3.8,9.2,1,93.6,0.31945999999999997
fedprox,ULB,0.05,25,3.8,9.2,1,232.3,0.31945999999999997
