round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.1
5,1,ULB-Bank1,fedavg,ulb,0.8461538461538461,0.7828354692282121,44,0.1
5,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.1
5,3,ULB-Bank3,fedavg,ulb,0.75,0.8309947299077735,8,0.1
10,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.1
10,1,ULB-Bank1,fedavg,ulb,0.8,0.7732193291659162,44,0.1
10,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.1
10,3,ULB-Bank3,fedavg,ulb,0.8,0.8331425768476128,8,0.1
15,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.1
15,1,ULB-Bank1,fedavg,ulb,0.8,0.7659824543783725,44,0.1
15,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.1
15,3,ULB-Bank3,fedavg,ulb,0.8,0.8207664526484751,8,0.1
20,0,ULB-Bank0,fedavg,ulb,0.0,0.0,0,0.1
20,1,ULB-Bank1,fedavg,ulb,0.7837837837837838,0.7624477830969604,44,0.1
20,2,ULB-Bank2,fedavg,ulb,0.0,0.0,0,0.1
20,3,ULB-Bank3,fedavg,ulb,0.8,0.824484064785789,8,0.1
5,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.1
5,1,ULB-Bank1,fedprox,ulb,0.8461538461538461,0.7785737917467073,44,0.1
5,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.1
5,3,ULB-Bank3,fedprox,ulb,0.75,0.8098647269014804,8,0.1
10,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.1
10,1,ULB-Bank1,fedprox,ulb,0.8157894736842105,0.7752334553168291,44,0.1
10,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.1
10,3,ULB-Bank3,fedprox,ulb,0.75,0.8248736138290933,8,0.1
15,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.1
15,1,ULB-Bank1,fedprox,ulb,0.8157894736842105,0.7806976874232525,44,0.1
15,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.1
15,3,ULB-Bank3,fedprox,ulb,0.75,0.8015918770736759,8,0.1
20,0,ULB-Bank0,fedprox,ulb,0.0,0.0,0,0.1
20,1,ULB-Bank1,fedprox,ulb,0.7671232876712328,0.7708326413693818,44,0.1
20,2,ULB-Bank2,fedprox,ulb,0.0,0.0,0,0.1
20,3,ULB-Bank3,fedprox,ulb,0.7058823529411765,0.8307219251336899,8,0.1
5,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.1
5,1,ULB-Bank1,fednova,ulb,0.8157894736842105,0.7806391373941278,44,0.1
5,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.1
5,3,ULB-Bank3,fednova,ulb,0.8,0.8411231884057971,8,0.1
10,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.1
10,1,ULB-Bank1,fednova,ulb,0.8157894736842105,0.7709880445978732,44,0.1
10,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.1
10,3,ULB-Bank3,fednova,ulb,0.8,0.8381531678641411,8,0.1
15,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.1
15,1,ULB-Bank1,fednova,ulb,0.7837837837837838,0.7534898845184922,44,0.1
15,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.1
15,3,ULB-Bank3,fednova,ulb,0.75,0.8090891912320484,8,0.1
20,0,ULB-Bank0,fednova,ulb,0.0,0.0,0,0.1
20,1,ULB-Bank1,fednova,ulb,0.8157894736842105,0.7660125960563309,44,0.1
20,2,ULB-Bank2,fednova,ulb,0.0,0.0,0,0.1
20,3,ULB-Bank3,fednova,ulb,0.75,0.7972304878804786,8,0.1
5,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.1
5,1,ULB-Bank1,persfl,ulb,0.825,0.7660143628398912,44,0.1
5,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.1
5,3,ULB-Bank3,persfl,ulb,0.6666666666666666,0.7418008823304242,8,0.1
10,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.1
10,1,ULB-Bank1,persfl,ulb,0.7948717948717948,0.7788687078661225,44,0.1
10,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.1
10,3,ULB-Bank3,persfl,ulb,0.6086956521739131,0.7232513894151825,8,0.1
15,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.1
15,1,ULB-Bank1,persfl,ulb,0.775,0.7564373979624861,44,0.1
15,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.1
15,3,ULB-Bank3,persfl,ulb,0.6,0.7372282608695653,8,0.1
20,0,ULB-Bank0,persfl,ulb,0.0,0.0,0,0.1
20,1,ULB-Bank1,persfl,ulb,0.7710843373493976,0.7388779450460007,44,0.1
20,2,ULB-Bank2,persfl,ulb,0.0,0.0,0,0.1
20,3,ULB-Bank3,persfl,ulb,0.6666666666666666,0.7808951204452343,8,0.1
