round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,0.8,1.0,2,0.5
5,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.5
5,2,ULB-Bank2,fedavg,ulb,0.8333333333333334,0.7166713612524795,14,0.5
5,3,ULB-Bank3,fedavg,ulb,0.819672131147541,0.7846834684062758,36,0.5
10,0,ULB-Bank0,fedavg,ulb,1.0,1.0,2,0.5
10,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.5
10,2,ULB-Bank2,fedavg,ulb,0.8,0.719777037357794,14,0.5
10,3,ULB-Bank3,fedavg,ulb,0.819672131147541,0.7929782301918632,36,0.5
15,0,ULB-Bank0,fedavg,ulb,0.8,1.0,2,0.5
15,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.5
15,2,ULB-Bank2,fedavg,ulb,0.7692307692307693,0.7053945293718611,14,0.5
15,3,ULB-Bank3,fedavg,ulb,0.8387096774193549,0.7918027297968211,36,0.5
20,0,ULB-Bank0,fedavg,ulb,1.0,1.0,2,0.5
20,1,ULB-Bank1,fedavg,ulb,0.0,0.0,0,0.5
20,2,ULB-Bank2,fedavg,ulb,0.8,0.7290080378451718,14,0.5
20,3,ULB-Bank3,fedavg,ulb,0.8,0.7804820178215106,36,0.5
5,0,ULB-Bank0,fedprox,ulb,0.8,1.0,2,0.5
5,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.5
5,2,ULB-Bank2,fedprox,ulb,0.8,0.7175395872047623,14,0.5
5,3,ULB-Bank3,fedprox,ulb,0.8,0.796321805673404,36,0.5
10,0,ULB-Bank0,fedprox,ulb,0.8,1.0,2,0.5
10,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.5
10,2,ULB-Bank2,fedprox,ulb,0.8333333333333334,0.7168456135932849,14,0.5
10,3,ULB-Bank3,fedprox,ulb,0.8,0.7877601344560119,36,0.5
15,0,ULB-Bank0,fedprox,ulb,1.0,1.0,2,0.5
15,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.5
15,2,ULB-Bank2,fedprox,ulb,0.8,0.7180375698489505,14,0.5
15,3,ULB-Bank3,fedprox,ulb,0.819672131147541,0.7881615479059964,36,0.5
20,0,ULB-Bank0,fedprox,ulb,1.0,1.0,2,0.5
20,1,ULB-Bank1,fedprox,ulb,0.0,0.0,0,0.5
20,2,ULB-Bank2,fedprox,ulb,0.8333333333333334,0.727762651795992,14,0.5
20,3,ULB-Bank3,fedprox,ulb,0.8,0.7837928676478464,36,0.5
5,0,ULB-Bank0,fednova,ulb,0.6666666666666666,1.0,2,0.5
5,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.5
5,2,ULB-Bank2,fednova,ulb,0.6896551724137931,0.7107501304351294,14,0.5
5,3,ULB-Bank3,fednova,ulb,0.8253968253968254,0.8010228036573696,36,0.5
10,0,ULB-Bank0,fednova,ulb,1.0,1.0,2,0.5
10,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.5
10,2,ULB-Bank2,fednova,ulb,0.8333333333333334,0.7461996984893384,14,0.5
10,3,ULB-Bank3,fednova,ulb,0.819672131147541,0.8015440609703404,36,0.5
15,0,ULB-Bank0,fednova,ulb,1.0,1.0,2,0.5
15,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.5
15,2,ULB-Bank2,fednova,ulb,0.8,0.7121531662152257,14,0.5
15,3,ULB-Bank3,fednova,ulb,0.8,0.8021076898410929,36,0.5
20,0,ULB-Bank0,fednova,ulb,1.0,1.0,2,0.5
20,1,ULB-Bank1,fednova,ulb,0.0,0.0,0,0.5
20,2,ULB-Bank2,fednova,ulb,0.8,0.7229664859406927,14,0.5
20,3,ULB-Bank3,fednova,ulb,0.819672131147541,0.7946232933546217,36,0.5
5,0,ULB-Bank0,persfl,ulb,0.8,1.0,2,0.5
5,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.5
5,2,ULB-Bank2,persfl,ulb,0.8,0.716308825198618,14,0.5
5,3,ULB-Bank3,persfl,ulb,0.7761194029850746,0.7823986879944446,36,0.5
10,0,ULB-Bank0,persfl,ulb,0.8,1.0,2,0.5
10,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.5
10,2,ULB-Bank2,persfl,ulb,0.8,0.7109046762001975,14,0.5
10,3,ULB-Bank3,persfl,ulb,0.7868852459016393,0.7848303891804415,36,0.5
15,0,ULB-Bank0,persfl,ulb,1.0,1.0,2,0.5
15,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.5
15,2,ULB-Bank2,persfl,ulb,0.8,0.7098962439435753,14,0.5
15,3,ULB-Bank3,persfl,ulb,0.7868852459016393,0.7999717860715054,36,0.5
20,0,ULB-Bank0,persfl,ulb,1.0,1.0,2,0.5
20,1,ULB-Bank1,persfl,ulb,0.0,0.0,0,0.5
20,2,ULB-Bank2,persfl,ulb,0.72,0.7052019698269955,14,0.5
20,3,ULB-Bank3,persfl,ulb,0.7619047619047619,0.7947962843407493,36,0.5
