strategy,dataset,alpha,auprc_mean,auprc_std,n_seeds
catboost,ULB,0.05,0.26156,0.14740218112361841,5
catboost,ULB,0.1,0.36852,0.17456307456045791,5
catboost,ULB,0.5,0.52396,0.22358802069878433,5
fedavg,ULB,0.05,0.2721,0.1618250135176883,5
fedavg,ULB,0.1,0.43550000000000005,0.23652083417745676,5
fedavg,ULB,0.5,0.5536800000000001,0.22500054888821938,5
fednova,ULB,0.05,0.26954,0.16680571932640678,5
fednova,ULB,0.1,0.43488,0.24017995753184734,5
fednova,ULB,0.5,0.55986,0.2268206295732379,5
fedprox,ULB,0.05,0.27484000000000003,0.16488878979481897,5
fedprox,ULB,0.1,0.43884,0.23550773448020768,5
fedprox,ULB,0.5,0.5576000000000001,0.22518201526764967,5
lgbm,ULB,0.05,0.27443999999999996,0.16628775661485123,5
lgbm,ULB,0.1,0.38416,0.18396995135075728,5
lgbm,ULB,0.5,0.5352,0.22061045986081443,5
moe_confidence,ULB,0.05,0.27524,0.1657955156208997,5
moe_confidence,ULB,0.1,0.43964,0.22931581498012732,5
moe_confidence,ULB,0.5,0.54926,0.23158314489616896,5
moe_performance,ULB,0.05,0.2753,0.16576240526729816,5
moe_performance,ULB,0.1,0.43964,0.22934573900554592,5
moe_performance,ULB,0.5,0.5494,0.23156378171035297,5
moe_static,ULB,0.05,0.27524,0.1657955156208997,5
moe_static,ULB,0.1,0.43964,0.22931581498012732,5
moe_static,ULB,0.5,0.54926,0.23158314489616896,5
moe_typology_aware,ULB,0.05,0.27522,0.1657509487152336,5
moe_typology_aware,ULB,0.1,0.43958,0.22932792459707127,5
moe_typology_aware,ULB,0.5,0.5494,0.2316357809147801,5
persfl,ULB,0.05,0.2762,0.1671026929765047,5
persfl,ULB,0.1,0.42024,0.2322044207158856,5
persfl,ULB,0.5,0.55038,0.23510129093648122,5
xgb,ULB,0.05,0.26322,0.1384626917259664,5
xgb,ULB,0.1,0.38239999999999996,0.18139761575059363,5
xgb,ULB,0.5,0.5211,0.20961088950720091,5
