dataset,alpha,fn_fp_ratio,auprc_best,cost_best,flip,money_left
ULB,0.05,10,persfl,fedprox,True,0.7
ULB,0.05,25,persfl,moe_performance,True,4.6
ULB,0.05,50,persfl,moe_performance,True,12.6
ULB,0.05,100,persfl,moe_performance,True,28.5
ULB,0.05,200,persfl,moe_performance,True,60.4
ULB,0.05,500,persfl,moe_performance,True,156.2
ULB,0.05,1000,persfl,moe_performance,True,315.7
ULB,0.05,2000,persfl,moe_performance,True,634.7
ULB,0.05,5000,persfl,moe_performance,True,1591.8
ULB,0.1,10,moe_confidence,moe_performance,True,0.2
ULB,0.1,25,moe_confidence,moe_confidence,False,0.0
ULB,0.1,50,moe_confidence,moe_confidence,False,0.0
ULB,0.1,100,moe_confidence,moe_confidence,False,0.0
ULB,0.1,200,moe_confidence,moe_confidence,False,0.0
ULB,0.1,500,moe_confidence,moe_confidence,False,0.0
ULB,0.1,1000,moe_confidence,moe_confidence,False,0.0
ULB,0.1,2000,moe_confidence,moe_confidence,False,0.0
ULB,0.1,5000,moe_confidence,moe_confidence,False,0.0
ULB,0.5,10,fednova,moe_performance,True,0.9
ULB,0.5,25,fednova,xgb,True,4.2
ULB,0.5,50,fednova,xgb,True,10.4
ULB,0.5,100,fednova,xgb,True,23.0
ULB,0.5,200,fednova,xgb,True,48.1
ULB,0.5,500,fednova,xgb,True,123.5
ULB,0.5,1000,fednova,xgb,True,249.1
ULB,0.5,2000,fednova,xgb,True,500.5
ULB,0.5,5000,fednova,xgb,True,1254.5
