strategy,dataset,alpha,fn_fp_ratio,TP,FN,FP,expected_loss,auprc
catboost,ULB,0.05,10,3.4,9.6,2137,2233.5,0.26156
catboost,ULB,0.05,25,3.4,9.6,2137,2377.8,0.26156
catboost,ULB,0.05,50,3.4,9.6,2137,2618.3,0.26156
catboost,ULB,0.05,100,3.4,9.6,2137,3099.3,0.26156
catboost,ULB,0.05,200,3.4,9.6,2137,4061.3,0.26156
catboost,ULB,0.05,500,3.4,9.6,2137,6947.4,0.26156
catboost,ULB,0.05,1000,3.4,9.6,2137,11757.4,0.26156
catboost,ULB,0.05,2000,3.4,9.6,2137,21377.3,0.26156
catboost,ULB,0.05,5000,3.4,9.6,2137,50237.3,0.26156
fedavg,ULB,0.05,10,3.1,9.9,0,99.5,0.2721
fedavg,ULB,0.05,25,3.1,9.9,0,247.5,0.2721
fedavg,ULB,0.05,50,3.1,9.9,0,494.1,0.2721
fedavg,ULB,0.05,100,3.1,9.9,0,987.3,0.2721
fedavg,ULB,0.05,200,3.1,9.9,0,1973.7,0.2721
fedavg,ULB,0.05,500,3.1,9.9,0,4932.8,0.2721
fedavg,ULB,0.05,1000,3.1,9.9,0,9864.8,0.2721
fedavg,ULB,0.05,2000,3.1,9.9,0,19728.7,0.2721
fedavg,ULB,0.05,5000,3.1,9.9,0,49320.3,0.2721
fednova,ULB,0.05,10,2.8,10.2,0,102.3,0.26954
fednova,ULB,0.05,25,2.8,10.2,0,255.4,0.26954
fednova,ULB,0.05,50,2.8,10.2,0,510.5,0.26954
fednova,ULB,0.05,100,2.8,10.2,0,1020.9,0.26954
fednova,ULB,0.05,200,2.8,10.2,0,2041.5,0.26954
fednova,ULB,0.05,500,2.8,10.2,0,5103.5,0.26954
fednova,ULB,0.05,1000,2.8,10.2,0,10206.8,0.26954
fednova,ULB,0.05,2000,2.8,10.2,0,20413.3,0.26954
fednova,ULB,0.05,5000,2.8,10.2,0,51033.0,0.26954
fedprox,ULB,0.05,10,3.2,9.8,0,98.9,0.27484
fedprox,ULB,0.05,25,3.2,9.8,0,246.5,0.27484
fedprox,ULB,0.05,50,3.2,9.8,0,492.4,0.27484
fedprox,ULB,0.05,100,3.2,9.8,0,984.2,0.27484
fedprox,ULB,0.05,200,3.2,9.8,0,1967.9,0.27484
fedprox,ULB,0.05,500,3.2,9.8,0,4918.8,0.27484
fedprox,ULB,0.05,1000,3.2,9.8,0,9837.1,0.27484
fedprox,ULB,0.05,2000,3.2,9.8,0,19673.7,0.27484
fedprox,ULB,0.05,5000,3.2,9.8,0,49183.5,0.27484
lgbm,ULB,0.05,10,3.4,9.6,2147,2243.3,0.27443999999999996
lgbm,ULB,0.05,25,3.4,9.6,2147,2386.7,0.27443999999999996
lgbm,ULB,0.05,50,3.4,9.6,2147,2625.6,0.27443999999999996
lgbm,ULB,0.05,100,3.4,9.6,2147,3103.4,0.27443999999999996
lgbm,ULB,0.05,200,3.4,9.6,2147,4059.0,0.27443999999999996
lgbm,ULB,0.05,500,3.4,9.6,2147,6925.9,0.27443999999999996
lgbm,ULB,0.05,1000,3.4,9.6,2147,11704.1,0.27443999999999996
lgbm,ULB,0.05,2000,3.4,9.6,2147,21260.4,0.27443999999999996
lgbm,ULB,0.05,5000,3.4,9.6,2147,49929.2,0.27443999999999996
moe_confidence,ULB,0.05,10,3.4,9.6,4,99.7,0.27524
moe_confidence,ULB,0.05,25,3.4,9.6,4,243.1,0.27524
moe_confidence,ULB,0.05,50,3.4,9.6,4,482.0,0.27524
moe_confidence,ULB,0.05,100,3.4,9.6,4,959.8,0.27524
moe_confidence,ULB,0.05,200,3.4,9.6,4,1915.4,0.27524
moe_confidence,ULB,0.05,500,3.4,9.6,4,4782.3,0.27524
moe_confidence,ULB,0.05,1000,3.4,9.6,4,9560.5,0.27524
moe_confidence,ULB,0.05,2000,3.4,9.6,4,19116.8,0.27524
moe_confidence,ULB,0.05,5000,3.4,9.6,4,47785.7,0.27524
moe_performance,ULB,0.05,10,3.5,9.5,4,99.7,0.2753
moe_performance,ULB,0.05,25,3.5,9.5,4,242.9,0.2753
moe_performance,ULB,0.05,50,3.5,9.5,4,481.5,0.2753
moe_performance,ULB,0.05,100,3.5,9.5,4,958.7,0.2753
moe_performance,ULB,0.05,200,3.5,9.5,4,1913.1,0.2753
moe_performance,ULB,0.05,500,3.5,9.5,4,4776.2,0.2753
moe_performance,ULB,0.05,1000,3.5,9.5,4,9548.1,0.2753
moe_performance,ULB,0.05,2000,3.5,9.5,4,19091.9,0.2753
moe_performance,ULB,0.05,5000,3.5,9.5,4,47723.4,0.2753
moe_static,ULB,0.05,10,3.4,9.6,4,99.7,0.27524
moe_static,ULB,0.05,25,3.4,9.6,4,243.1,0.27524
moe_static,ULB,0.05,50,3.4,9.6,4,482.0,0.27524
moe_static,ULB,0.05,100,3.4,9.6,4,959.8,0.27524
moe_static,ULB,0.05,200,3.4,9.6,4,1915.4,0.27524
moe_static,ULB,0.05,500,3.4,9.6,4,4782.3,0.27524
moe_static,ULB,0.05,1000,3.4,9.6,4,9560.5,0.27524
moe_static,ULB,0.05,2000,3.4,9.6,4,19116.8,0.27524
moe_static,ULB,0.05,5000,3.4,9.6,4,47785.7,0.27524
moe_typology_aware,ULB,0.05,10,3.5,9.5,4,99.7,0.27522
moe_typology_aware,ULB,0.05,25,3.5,9.5,4,242.9,0.27522
moe_typology_aware,ULB,0.05,50,3.5,9.5,4,481.5,0.27522
moe_typology_aware,ULB,0.05,100,3.5,9.5,4,958.7,0.27522
moe_typology_aware,ULB,0.05,200,3.5,9.5,4,1913.1,0.27522
moe_typology_aware,ULB,0.05,500,3.5,9.5,4,4776.2,0.27522
