dataset,alpha,seed,rho,target_fnr,defer_budget,defer_rule,gate,human_accuracy,n_banks,n_banks_with_fraud,n_banks_audited,n_banks_fallback_threshold,n_banks_split_ok,defer_frac,miss_rate_audit,miss_rate_policy,coverage_valid_frac,expected_cost,expected_cost_per_txn,aurc,auto_clear_at_recall80,fpr_at_recall80,achieved_recall80,defer_jain,fpr_gap
ulb,0.05,0,1.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04809160030396353,0.23076923076923078,0.15384615384615385,0.3333333333333333,539.75,0.012633414474300159,0.0028821754860839013,0.9986190431607528,0.0004452568428946382,0.7692307692307693,0.9879749233282598,0.0014039685511044553
ulb,0.05,0,2.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04809160030396353,0.23076923076923078,0.15384615384615385,0.3333333333333333,547.75,0.01282066285928284,0.0029028143980567335,0.9986190431607528,0.0004452568428946382,0.7692307692307693,0.9879749233282598,0.0014039685511044553
ulb,0.05,0,5.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04809160030396353,0.23076923076923078,0.15384615384615385,0.3333333333333333,571.75,0.013382408014230877,0.0029647311339752297,0.9986190431607528,0.0004452568428946382,0.7692307692307693,0.9879749233282598,0.0014039685511044553
ulb,0.05,0,10.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04809160030396353,0.23076923076923078,0.15384615384615385,0.3333333333333333,611.75,0.014318649939144276,0.00306792569383939,0.9986190431607528,0.0004452568428946382,0.7692307692307693,0.9879749233282598,0.0014039685511044553
ulb,0.05,0,20.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04799827036894156,0.23076923076923078,0.15384615384615385,0.3333333333333333,694.75,0.016261351933339576,0.0038891280249255685,0.9986190431607528,0.0004452568428946382,0.7692307692307693,0.9881388473570766,0.0016847622613253464
ulb,0.05,0,50.0,0.1,0.05,band,brier,1.0,4,3,4,3,1,0.04746215564846429,0.23076923076923078,0.15384615384615385,0.3333333333333333,956.0,0.022376182005430203,0.007502049059412191,0.9986190431607528,0.0004452568428946382,0.7692307692307693,0.9895214688152749,0.00355672032946462
ulb,0.05,1,1.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.03397470462069536,0.07692307692307693,0.07692307692307693,1.0,2562.25,0.05997355054654402,0.08572307826873367,0.9984551646654027,0.0005858779967659535,0.7884615384615384,0.7480327032505945,0.18297482404261337
ulb,0.05,1,2.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.03397470462069536,0.07692307692307693,0.07692307692307693,1.0,2566.25,0.060067176930459,0.08573403951140396,0.9984551646654027,0.0005858779967659535,0.7884615384615384,0.7480327032505945,0.18297482404261337
ulb,0.05,1,5.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.03397470462069536,0.07692307692307693,0.07692307692307693,1.0,2578.25,0.06034805608220396,0.08576692323941484,0.9984551646654027,0.0005858779967659535,0.7884615384615384,0.7480327032505945,0.18297482404261337
ulb,0.05,1,10.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.03397470462069536,0.07692307692307693,0.07692307692307693,1.0,2598.25,0.060816188001778904,0.08582172945276631,0.9984551646654027,0.0005858779967659535,0.7884615384615384,0.7480327032505945,0.18297482404261337
ulb,0.05,1,20.0,0.1,0.05,band,brier,1.0,4,1,4,3,1,0.03397470462069536,0.07692307692307693,0.07692307692307693,1.0,2638.25,0.06175245184092877,0.08593134187946926,0.9984551646654027,0.0005858779967659535,0.7884615384615384,0.7480327032505945,0.18297482404261337
