round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,ULB-Bank0,fedavg,ulb,0.8275862068965517,0.7879748685162018,33,0.5
5,1,ULB-Bank1,fedavg,ulb,0.8571428571428571,0.7514598540145986,4,0.5
5,2,ULB-Bank2,fedavg,ulb,0.6666666666666666,0.6389558832825003,9,0.5
5,3,ULB-Bank3,fedavg,ulb,0.9090909090909091,0.8338435374149659,6,0.5
10,0,ULB-Bank0,fedavg,ulb,0.8620689655172413,0.7907365519836705,33,0.5
10,1,ULB-Bank1,fedavg,ulb,0.6666666666666666,0.6893281535648994,4,0.5
10,2,ULB-Bank2,fedavg,ulb,0.6666666666666666,0.6803417813858317,9,0.5
10,3,ULB-Bank3,fedavg,ulb,0.9090909090909091,0.8335638011830683,6,0.5
15,0,ULB-Bank0,fedavg,ulb,0.8421052631578947,0.7794533183693633,33,0.5
15,1,ULB-Bank1,fedavg,ulb,0.75,0.751187648456057,4,0.5
15,2,ULB-Bank2,fedavg,ulb,0.625,0.631461154784937,9,0.5
15,3,ULB-Bank3,fedavg,ulb,0.9090909090909091,0.8336672231496939,6,0.5
20,0,ULB-Bank0,fedavg,ulb,0.8214285714285714,0.7845658507847111,33,0.5
20,1,ULB-Bank1,fedavg,ulb,0.6666666666666666,0.7507380073800738,4,0.5
20,2,ULB-Bank2,fedavg,ulb,0.7142857142857143,0.6256906488078037,9,0.5
20,3,ULB-Bank3,fedavg,ulb,0.9090909090909091,0.8335873983739838,6,0.5
5,0,ULB-Bank0,fedprox,ulb,0.8214285714285714,0.7875511437255159,33,0.5
5,1,ULB-Bank1,fedprox,ulb,0.75,0.751763668430335,4,0.5
5,2,ULB-Bank2,fedprox,ulb,0.7142857142857143,0.6723648428955692,9,0.5
5,3,ULB-Bank3,fedprox,ulb,0.9090909090909091,0.8338228095937347,6,0.5
10,0,ULB-Bank0,fedprox,ulb,0.8421052631578947,0.7852581114726831,33,0.5
10,1,ULB-Bank1,fedprox,ulb,0.75,0.6049673071790765,4,0.5
