strategy,dataset,alpha,auprc_mean,auprc_std,n_seeds
catboost,SAML,0.05,0.0303,0.00028284271247461853,2
catboost,SAML,0.1,0.042800000000000005,0.006788225099390862,2
catboost,SAML,0.5,0.07585,0.006293250352560267,2
fedavg,SAML,0.05,0.003,0.0009899494936611668,2
fedavg,SAML,0.1,0.02225,0.014495689014324227,2
fedavg,SAML,0.5,0.0658,0.050204581464244884,2
fednova,SAML,0.05,0.00195,7.07106781186547e-05,2
fednova,SAML,0.1,0.0134,0.0016970562748477136,2
fednova,SAML,0.5,0.0664,0.050204581464244884,2
fedprox,SAML,0.05,0.00235,0.0006363961030678927,2
fedprox,SAML,0.1,0.0234,0.01767766952966369,2
fedprox,SAML,0.5,0.06520000000000001,0.0506288455329568,2
lgbm,SAML,0.05,0.030350000000000002,0.0007778174593052038,2
lgbm,SAML,0.1,0.0446,0.006788225099390854,2
lgbm,SAML,0.5,0.0834,0.02446589462905454,2
moe_confidence,SAML,0.05,0.015200000000000002,0.013010764773832475,2
moe_confidence,SAML,0.1,0.0207,0.009475230867899738,2
moe_confidence,SAML,0.5,0.0674,0.050204581464244884,2
moe_performance,SAML,0.05,0.01985,0.013505739520663057,2
moe_performance,SAML,0.1,0.0248,0.013576450198781712,2
moe_performance,SAML,0.5,0.06795,0.04999244942988891,2
moe_static,SAML,0.05,0.0161,0.012303657992645926,2
moe_static,SAML,0.1,0.0234,0.012445079348883236,2
moe_static,SAML,0.5,0.0676,0.05006316010800757,2
moe_typology_aware,SAML,0.05,0.01125,0.006010407640085654,2
moe_typology_aware,SAML,0.1,0.04165,0.014637110370561531,2
moe_typology_aware,SAML,0.5,0.0781,0.03775950211536164,2
persfl,SAML,0.05,0.00445,0.003747665940288702,2
persfl,SAML,0.1,0.027200000000000002,0.012727922061357857,2
persfl,SAML,0.5,0.0724,0.04115361466505707,2
xgb,SAML,0.05,0.02985,0.00035355339059327283,2
xgb,SAML,0.1,0.044950000000000004,0.007566042558696057,2
xgb,SAML,0.5,0.0844,0.022910259710444133,2
