dataset,alpha,fn_fp_ratio,auprc_best,cost_best,flip,money_left
SAML,0.05,10,lgbm,fednova,True,180543.8
SAML,0.05,25,lgbm,fednova,True,179294.1
SAML,0.05,50,lgbm,fednova,True,177211.4
SAML,0.05,100,lgbm,moe_performance,True,173938.9
SAML,0.05,200,lgbm,moe_performance,True,168465.6
SAML,0.05,500,lgbm,moe_static,True,153781.1
SAML,0.05,1000,lgbm,persfl,True,134375.5
SAML,0.05,2000,lgbm,persfl,True,108261.0
SAML,0.05,5000,lgbm,xgb,True,215845.3
SAML,0.1,10,xgb,moe_typology_aware,True,48320.2
SAML,0.1,25,xgb,moe_typology_aware,True,48318.9
SAML,0.1,50,xgb,moe_typology_aware,True,48316.8
SAML,0.1,100,xgb,moe_typology_aware,True,48312.5
SAML,0.1,200,xgb,moe_typology_aware,True,48304.0
SAML,0.1,500,xgb,moe_typology_aware,True,48278.5
SAML,0.1,1000,xgb,moe_typology_aware,True,48236.2
SAML,0.1,2000,xgb,moe_typology_aware,True,48151.4
SAML,0.1,5000,xgb,moe_typology_aware,True,47896.9
SAML,0.5,10,xgb,moe_typology_aware,True,1979.1
SAML,0.5,25,xgb,moe_typology_aware,True,1850.9
SAML,0.5,50,xgb,moe_typology_aware,True,1637.3
SAML,0.5,100,xgb,moe_typology_aware,True,1210.0
SAML,0.5,200,xgb,fednova,True,2673.4
SAML,0.5,500,xgb,fedprox,True,13250.1
SAML,0.5,1000,xgb,fedprox,True,32356.9
SAML,0.5,2000,xgb,fedprox,True,70570.6
SAML,0.5,5000,xgb,fedprox,True,185211.5
