strategy,dataset,alpha,fn_fp_ratio,TP,FN,FP,expected_loss,auprc
catboost,SAML,0.05,10,82.7,342.0,180229,183649.0,0.0303
catboost,SAML,0.05,25,82.7,342.0,180229,188778.3,0.0303
catboost,SAML,0.05,50,82.7,342.0,180229,197327.0,0.0303
catboost,SAML,0.05,100,82.7,342.0,180229,214424.6,0.0303
catboost,SAML,0.05,200,82.7,342.0,180229,248619.6,0.0303
catboost,SAML,0.05,500,82.7,342.0,180229,351204.8,0.0303
catboost,SAML,0.05,1000,82.7,342.0,180229,522180.0,0.0303
catboost,SAML,0.05,2000,82.7,342.0,180229,864130.5,0.0303
catboost,SAML,0.05,5000,82.7,342.0,180229,1889982.1,0.0303
fedavg,SAML,0.05,10,20.6,404.1,5704,9744.6,0.003
fedavg,SAML,0.05,25,20.6,404.1,5704,15805.4,0.003
fedavg,SAML,0.05,50,20.6,404.1,5704,25906.7,0.003
fedavg,SAML,0.05,100,20.6,404.1,5704,46109.3,0.003
fedavg,SAML,0.05,200,20.6,404.1,5704,86514.5,0.003
fedavg,SAML,0.05,500,20.6,404.1,5704,207730.1,0.003
fedavg,SAML,0.05,1000,20.6,404.1,5704,409756.0,0.003
fedavg,SAML,0.05,2000,20.6,404.1,5704,813808.0,0.003
fedavg,SAML,0.05,5000,20.6,404.1,5704,2025963.7,0.003
fednova,SAML,0.05,10,0.0,424.6,0,4246.2,0.00195
fednova,SAML,0.05,25,0.0,424.6,0,10615.6,0.00195
fednova,SAML,0.05,50,0.0,424.6,0,21231.2,0.00195
fednova,SAML,0.05,100,0.0,424.6,0,42462.5,0.00195
fednova,SAML,0.05,200,0.0,424.6,0,84925.0,0.00195
fednova,SAML,0.05,500,0.0,424.6,0,212312.5,0.00195
fednova,SAML,0.05,1000,0.0,424.6,0,424625.0,0.00195
fednova,SAML,0.05,2000,0.0,424.6,0,849250.0,0.00195
fednova,SAML,0.05,5000,0.0,424.6,0,2123125.0,0.00195
fedprox,SAML,0.05,10,18.5,406.1,4287,8348.4,0.00235
fedprox,SAML,0.05,25,18.5,406.1,4287,14440.0,0.00235
fedprox,SAML,0.05,50,18.5,406.1,4287,24592.8,0.00235
fedprox,SAML,0.05,100,18.5,406.1,4287,44898.4,0.00235
fedprox,SAML,0.05,200,18.5,406.1,4287,85509.5,0.00235
fedprox,SAML,0.05,500,18.5,406.1,4287,207342.9,0.00235
fedprox,SAML,0.05,1000,18.5,406.1,4287,410398.6,0.00235
fedprox,SAML,0.05,2000,18.5,406.1,4287,816510.0,0.00235
fedprox,SAML,0.05,5000,18.5,406.1,4287,2034844.0,0.00235
lgbm,SAML,0.05,10,83.3,341.3,181376,184790.0,0.030350000000000002
lgbm,SAML,0.05,25,83.3,341.3,181376,189909.7,0.030350000000000002
lgbm,SAML,0.05,50,83.3,341.3,181376,198442.6,0.030350000000000002
lgbm,SAML,0.05,100,83.3,341.3,181376,215508.2,0.030350000000000002
lgbm,SAML,0.05,200,83.3,341.3,181376,249639.6,0.030350000000000002
lgbm,SAML,0.05,500,83.3,341.3,181376,352033.7,0.030350000000000002
lgbm,SAML,0.05,1000,83.3,341.3,181376,522690.5,0.030350000000000002
lgbm,SAML,0.05,2000,83.3,341.3,181376,864004.0,0.030350000000000002
lgbm,SAML,0.05,5000,83.3,341.3,181376,1887944.8,0.030350000000000002
moe_confidence,SAML,0.05,10,33.2,391.4,3771,7686.0,0.015200000000000002
moe_confidence,SAML,0.05,25,33.2,391.4,3771,13557.6,0.015200000000000002
moe_confidence,SAML,0.05,50,33.2,391.4,3771,23343.7,0.015200000000000002
moe_confidence,SAML,0.05,100,33.2,391.4,3771,42915.7,0.015200000000000002
moe_confidence,SAML,0.05,200,33.2,391.4,3771,82059.7,0.015200000000000002
moe_confidence,SAML,0.05,500,33.2,391.4,3771,199491.9,0.015200000000000002
moe_confidence,SAML,0.05,1000,33.2,391.4,3771,395212.2,0.015200000000000002
moe_confidence,SAML,0.05,2000,33.2,391.4,3771,786652.7,0.015200000000000002
moe_confidence,SAML,0.05,5000,33.2,391.4,3771,1960974.4,0.015200000000000002
moe_performance,SAML,0.05,10,28.6,396.0,1964,5925.0,0.01985
moe_performance,SAML,0.05,25,28.6,396.0,1964,11865.7,0.01985
moe_performance,SAML,0.05,50,28.6,396.0,1964,21766.9,0.01985
moe_performance,SAML,0.05,100,28.6,396.0,1964,41569.3,0.01985
moe_performance,SAML,0.05,200,28.6,396.0,1964,81174.0,0.01985
moe_performance,SAML,0.05,500,28.6,396.0,1964,199988.4,0.01985
moe_performance,SAML,0.05,1000,28.6,396.0,1964,398012.2,0.01985
moe_performance,SAML,0.05,2000,28.6,396.0,1964,794060.0,0.01985
moe_performance,SAML,0.05,5000,28.6,396.0,1964,1982203.2,0.01985
moe_static,SAML,0.05,10,35.0,389.6,3434,7331.0,0.0161
moe_static,SAML,0.05,25,35.0,389.6,3434,13175.5,0.0161
moe_static,SAML,0.05,50,35.0,389.6,3434,22916.4,0.0161
moe_static,SAML,0.05,100,35.0,389.6,3434,42398.2,0.0161
moe_static,SAML,0.05,200,35.0,389.6,3434,81361.8,0.0161
moe_static,SAML,0.05,500,35.0,389.6,3434,198252.6,0.0161
moe_static,SAML,0.05,1000,35.0,389.6,3434,393070.5,0.0161
moe_static,SAML,0.05,2000,35.0,389.6,3434,782706.4,0.0161
moe_static,SAML,0.05,5000,35.0,389.6,3434,1951614.1,0.0161
moe_typology_aware,SAML,0.05,10,26.8,397.8,4596,8574.5,0.01125
moe_typology_aware,SAML,0.05,25,26.8,397.8,4596,14541.6,0.01125
moe_typology_aware,SAML,0.05,50,26.8,397.8,4596,24486.9,0.01125
moe_typology_aware,SAML,0.05,100,26.8,397.8,4596,44377.4,0.01125
moe_typology_aware,SAML,0.05,200,26.8,397.8,4596,84158.4,0.01125
moe_typology_aware,SAML,0.05,500,26.8,397.8,4596,203501.3,0.01125
moe_typology_aware,SAML,0.05,1000,26.8,397.8,4596,402406.3,0.01125
moe_typology_aware,SAML,0.05,2000,26.8,397.8,4596,800216.2,0.01125
moe_typology_aware,SAML,0.05,5000,26.8,397.8,4596,1993646.0,0.01125
persfl,SAML,0.05,10,57.2,367.4,20887,24561.3,0.00445
persfl,SAML,0.05,25,57.2,367.4,20887,30072.7,0.00445
persfl,SAML,0.05,50,57.2,367.4,20887,39258.4,0.00445
persfl,SAML,0.05,100,57.2,367.4,20887,57629.8,0.00445
persfl,SAML,0.05,200,57.2,367.4,20887,94372.6,0.00445
persfl,SAML,0.05,500,57.2,367.4,20887,204601.0,0.00445
persfl,SAML,0.05,1000,57.2,367.4,20887,388315.0,0.00445
persfl,SAML,0.05,2000,57.2,367.4,20887,755743.0,0.00445
persfl,SAML,0.05,5000,57.2,367.4,20887,1858027.1,0.00445
xgb,SAML,0.05,10,131.0,293.6,203852,206788.9,0.02985
xgb,SAML,0.05,25,131.0,293.6,203852,211193.6,0.02985
xgb,SAML,0.05,50,131.0,293.6,203852,218534.8,0.02985
xgb,SAML,0.05,100,131.0,293.6,203852,233217.3,0.02985
xgb,SAML,0.05,200,131.0,293.6,203852,262582.3,0.02985
xgb,SAML,0.05,500,131.0,293.6,203852,350677.1,0.02985
xgb,SAML,0.05,1000,131.0,293.6,203852,497501.8,0.02985
xgb,SAML,0.05,2000,131.0,293.6,203852,791151.2,0.02985
xgb,SAML,0.05,5000,131.0,293.6,203852,1672099.5,0.02985
catboost,SAML,0.1,10,103.1,321.0,47865,51075.9,0.042800000000000005
catboost,SAML,0.1,25,103.1,321.0,47865,55890.9,0.042800000000000005
catboost,SAML,0.1,50,103.1,321.0,47865,63915.8,0.042800000000000005
catboost,SAML,0.1,100,103.1,321.0,47865,79965.8,0.042800000000000005
catboost,SAML,0.1,200,103.1,321.0,47865,112065.7,0.042800000000000005
catboost,SAML,0.1,500,103.1,321.0,47865,208365.4,0.042800000000000005
catboost,SAML,0.1,1000,103.1,321.0,47865,368864.9,0.042800000000000005
catboost,SAML,0.1,2000,103.1,321.0,47865,689863.9,0.042800000000000005
catboost,SAML,0.1,5000,103.1,321.0,47865,1652860.9,0.042800000000000005
fedavg,SAML,0.1,10,73.4,350.8,12637,16145.1,0.02225
fedavg,SAML,0.1,25,73.4,350.8,12637,21406.7,0.02225
fedavg,SAML,0.1,50,73.4,350.8,12637,30176.0,0.02225
fedavg,SAML,0.1,100,73.4,350.8,12637,47714.6,0.02225
fedavg,SAML,0.1,200,73.4,350.8,12637,82791.9,0.02225
fedavg,SAML,0.1,500,73.4,350.8,12637,188023.7,0.02225
fedavg,SAML,0.1,1000,73.4,350.8,12637,363410.0,0.02225
fedavg,SAML,0.1,2000,73.4,350.8,12637,714182.5,0.02225
fedavg,SAML,0.1,5000,73.4,350.8,12637,1766500.3,0.02225
fednova,SAML,0.1,10,85.0,339.1,9817,13208.8,0.0134
fednova,SAML,0.1,25,85.0,339.1,9817,18295.1,0.0134
fednova,SAML,0.1,50,85.0,339.1,9817,26772.3,0.0134
fednova,SAML,0.1,100,85.0,339.1,9817,43726.7,0.0134
fednova,SAML,0.1,200,85.0,339.1,9817,77635.5,0.0134
fednova,SAML,0.1,500,85.0,339.1,9817,179361.8,0.0134
fednova,SAML,0.1,1000,85.0,339.1,9817,348905.8,0.0134
fednova,SAML,0.1,2000,85.0,339.1,9817,687993.8,0.0134
fednova,SAML,0.1,5000,85.0,339.1,9817,1705257.6,0.0134
fedprox,SAML,0.1,10,84.3,339.8,16609,20007.3,0.0234
fedprox,SAML,0.1,25,84.3,339.8,16609,25104.1,0.0234
fedprox,SAML,0.1,50,84.3,339.8,16609,33598.8,0.0234
fedprox,SAML,0.1,100,84.3,339.8,16609,50588.1,0.0234
fedprox,SAML,0.1,200,84.3,339.8,16609,84566.9,0.0234
fedprox,SAML,0.1,500,84.3,339.8,16609,186503.2,0.0234
fedprox,SAML,0.1,1000,84.3,339.8,16609,356397.1,0.0234
fedprox,SAML,0.1,2000,84.3,339.8,16609,696184.9,0.0234
fedprox,SAML,0.1,5000,84.3,339.8,16609,1715548.1,0.0234
lgbm,SAML,0.1,10,101.4,322.7,48308,51535.9,0.0446
lgbm,SAML,0.1,25,101.4,322.7,48308,56376.7,0.0446
lgbm,SAML,0.1,50,101.4,322.7,48308,64444.6,0.0446
lgbm,SAML,0.1,100,101.4,322.7,48308,80580.4,0.0446
lgbm,SAML,0.1,200,101.4,322.7,48308,112852.1,0.0446
lgbm,SAML,0.1,500,101.4,322.7,48308,209667.1,0.0446
lgbm,SAML,0.1,1000,101.4,322.7,48308,371025.5,0.0446
lgbm,SAML,0.1,2000,101.4,322.7,48308,693742.2,0.0446
lgbm,SAML,0.1,5000,101.4,322.7,48308,1661892.3,0.0446
moe_confidence,SAML,0.1,10,79.3,344.8,3301,6749.8,0.0207
moe_confidence,SAML,0.1,25,79.3,344.8,3301,11922.4,0.0207
moe_confidence,SAML,0.1,50,79.3,344.8,3301,20543.2,0.0207
moe_confidence,SAML,0.1,100,79.3,344.8,3301,37785.0,0.0207
moe_confidence,SAML,0.1,200,79.3,344.8,3301,72268.5,0.0207
moe_confidence,SAML,0.1,500,79.3,344.8,3301,175718.9,0.0207
moe_confidence,SAML,0.1,1000,79.3,344.8,3301,348136.3,0.0207
moe_confidence,SAML,0.1,2000,79.3,344.8,3301,692971.2,0.0207
moe_confidence,SAML,0.1,5000,79.3,344.8,3301,1727475.7,0.0207
moe_performance,SAML,0.1,10,94.0,330.1,4417,7718.3,0.0248
moe_performance,SAML,0.1,25,94.0,330.1,4417,12670.1,0.0248
moe_performance,SAML,0.1,50,94.0,330.1,4417,20923.0,0.0248
moe_performance,SAML,0.1,100,94.0,330.1,4417,37428.9,0.0248
moe_performance,SAML,0.1,200,94.0,330.1,4417,70440.7,0.0248
moe_performance,SAML,0.1,500,94.0,330.1,4417,169476.0,0.0248
moe_performance,SAML,0.1,1000,94.0,330.1,4417,334534.8,0.0248
moe_performance,SAML,0.1,2000,94.0,330.1,4417,664652.5,0.0248
moe_performance,SAML,0.1,5000,94.0,330.1,4417,1655005.6,0.0248
moe_static,SAML,0.1,10,82.0,342.1,3518,6940.0,0.0234
moe_static,SAML,0.1,25,82.0,342.1,3518,12072.2,0.0234
moe_static,SAML,0.1,50,82.0,342.1,3518,20625.7,0.0234
moe_static,SAML,0.1,100,82.0,342.1,3518,37732.8,0.0234
moe_static,SAML,0.1,200,82.0,342.1,3518,71947.0,0.0234
moe_static,SAML,0.1,500,82.0,342.1,3518,174589.4,0.0234
moe_static,SAML,0.1,1000,82.0,342.1,3518,345660.3,0.0234
moe_static,SAML,0.1,2000,82.0,342.1,3518,687801.9,0.0234
moe_static,SAML,0.1,5000,82.0,342.1,3518,1714226.8,0.0234
moe_typology_aware,SAML,0.1,10,94.8,329.3,3341,6634.7,0.04165
moe_typology_aware,SAML,0.1,25,94.8,329.3,3341,11574.4,0.04165
moe_typology_aware,SAML,0.1,50,94.8,329.3,3341,19807.2,0.04165
moe_typology_aware,SAML,0.1,100,94.8,329.3,3341,36272.8,0.04165
moe_typology_aware,SAML,0.1,200,94.8,329.3,3341,69204.0,0.04165
moe_typology_aware,SAML,0.1,500,94.8,329.3,3341,167997.6,0.04165
moe_typology_aware,SAML,0.1,1000,94.8,329.3,3341,332653.5,0.04165
moe_typology_aware,SAML,0.1,2000,94.8,329.3,3341,661965.3,0.04165
moe_typology_aware,SAML,0.1,5000,94.8,329.3,3341,1649900.9,0.04165
persfl,SAML,0.1,10,46.4,377.7,18161,21938.2,0.027200000000000002
persfl,SAML,0.1,25,46.4,377.7,18161,27603.5,0.027200000000000002
persfl,SAML,0.1,50,46.4,377.7,18161,37045.5,0.027200000000000002
persfl,SAML,0.1,100,46.4,377.7,18161,55929.7,0.027200000000000002
persfl,SAML,0.1,200,46.4,377.7,18161,93698.0,0.027200000000000002
persfl,SAML,0.1,500,46.4,377.7,18161,207003.0,0.027200000000000002
persfl,SAML,0.1,1000,46.4,377.7,18161,395844.7,0.027200000000000002
persfl,SAML,0.1,2000,46.4,377.7,18161,773528.0,0.027200000000000002
persfl,SAML,0.1,5000,46.4,377.7,18161,1906577.9,0.027200000000000002
xgb,SAML,0.1,10,94.9,329.2,51662,54954.9,0.044950000000000004
xgb,SAML,0.1,25,94.9,329.2,51662,59893.3,0.044950000000000004
xgb,SAML,0.1,50,94.9,329.2,51662,68124.0,0.044950000000000004
xgb,SAML,0.1,100,94.9,329.2,51662,84585.3,0.044950000000000004
xgb,SAML,0.1,200,94.9,329.2,51662,117508.0,0.044950000000000004
xgb,SAML,0.1,500,94.9,329.2,51662,216276.1,0.044950000000000004
xgb,SAML,0.1,1000,94.9,329.2,51662,380889.7,0.044950000000000004
xgb,SAML,0.1,2000,94.9,329.2,51662,710116.7,0.044950000000000004
xgb,SAML,0.1,5000,94.9,329.2,51662,1697797.8,0.044950000000000004
catboost,SAML,0.5,10,69.8,354.3,4906,8449.5,0.07585
catboost,SAML,0.5,25,69.8,354.3,4906,13764.2,0.07585
catboost,SAML,0.5,50,69.8,354.3,4906,22622.1,0.07585
catboost,SAML,0.5,100,69.8,354.3,4906,40337.8,0.07585
catboost,SAML,0.5,200,69.8,354.3,4906,75769.2,0.07585
catboost,SAML,0.5,500,69.8,354.3,4906,182063.4,0.07585
catboost,SAML,0.5,1000,69.8,354.3,4906,359220.4,0.07585
catboost,SAML,0.5,2000,69.8,354.3,4906,713534.4,0.07585
catboost,SAML,0.5,5000,69.8,354.3,4906,1776476.5,0.07585
fedavg,SAML,0.5,10,90.2,333.9,7264,10603.8,0.0658
