strategy,dataset,alpha,auprc_mean,auprc_std,n_seeds
catboost,SAML,0.05,0.0412,0.024765500196846424,5
catboost,SAML,0.1,0.04216,0.014361162905558868,5
catboost,SAML,0.5,0.0772,0.006841417981676023,5
fedavg,SAML,0.05,0.02136,0.04066630054479999,5
fedavg,SAML,0.1,0.02462,0.023460967584479547,5
fedavg,SAML,0.5,0.07465999999999999,0.027055369152905677,5
fednova,SAML,0.05,0.0215,0.04371755940122916,5
fednova,SAML,0.1,0.01936,0.021087982359628433,5
fednova,SAML,0.5,0.07072,0.02595403629495806,5
fedprox,SAML,0.05,0.021040000000000003,0.04062336765951341,5
fedprox,SAML,0.1,0.025259999999999998,0.023711031188035664,5
fedprox,SAML,0.5,0.07039999999999999,0.02602498799231231,5
lgbm,SAML,0.05,0.03702,0.014529693733867895,5
lgbm,SAML,0.1,0.04307999999999999,0.014396770471185542,5
lgbm,SAML,0.5,0.07936,0.013299360886899784,5
moe_confidence,SAML,0.05,0.02482,0.032210976390044437,5
moe_confidence,SAML,0.1,0.02536,0.021907715535856312,5
moe_confidence,SAML,0.5,0.0764,0.027034052600377917,5
moe_performance,SAML,0.05,0.02794,0.03144380702141521,5
moe_performance,SAML,0.1,0.028559999999999995,0.020876014945386486,5
moe_performance,SAML,0.5,0.07683999999999999,0.02685364034912213,5
moe_static,SAML,0.05,0.02566,0.03166351212357846,5
moe_static,SAML,0.1,0.02752,0.02119992924516495,5
moe_static,SAML,0.5,0.07648,0.026950454541621375,5
moe_typology_aware,SAML,0.05,0.029160000000000002,0.034475977143512554,5
moe_typology_aware,SAML,0.1,0.0513,0.018594891771666757,5
moe_typology_aware,SAML,0.5,0.08277999999999999,0.01971692166642653,5
persfl,SAML,0.05,0.02182,0.03231527502590687,5
persfl,SAML,0.1,0.02782,0.020010547218904336,5
persfl,SAML,0.5,0.07254000000000001,0.021443717028537757,5
xgb,SAML,0.05,0.0381,0.01856111526821597,5
xgb,SAML,0.1,0.0423,0.014067515772161055,5
xgb,SAML,0.5,0.08042,0.013416109719288973,5
