dataset,alpha,fn_fp_ratio,auprc_best,cost_best,flip,money_left
SAML,0.05,10,catboost,fednova,True,144418.2
SAML,0.05,25,catboost,fednova,True,143651.3
SAML,0.05,50,catboost,fednova,True,142373.1
SAML,0.05,100,catboost,moe_performance,True,140451.8
SAML,0.05,200,catboost,moe_performance,True,137556.8
SAML,0.05,500,catboost,moe_confidence,True,130400.7
SAML,0.05,1000,catboost,persfl,True,120250.4
SAML,0.05,2000,catboost,persfl,True,109607.8
SAML,0.05,5000,catboost,persfl,True,77679.7
SAML,0.1,10,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,25,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,50,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,100,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,200,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,500,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,1000,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,2000,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,5000,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,10,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,25,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,50,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,100,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,200,moe_typology_aware,fednova,True,938.1
SAML,0.5,500,moe_typology_aware,persfl,True,6135.4
SAML,0.5,1000,moe_typology_aware,persfl,True,16904.5
SAML,0.5,2000,moe_typology_aware,persfl,True,38442.9
SAML,0.5,5000,moe_typology_aware,persfl,True,103057.8
