strategy,dataset,alpha,fn_fp_ratio,TP,FN,FP,expected_loss,auprc
catboost,SAML,0.05,10,63.2,361.2,145285,148897.4,0.0412
catboost,SAML,0.05,25,63.2,361.2,145285,154315.4,0.0412
catboost,SAML,0.05,50,63.2,361.2,145285,163345.3,0.0412
catboost,SAML,0.05,100,63.2,361.2,145285,181405.2,0.0412
catboost,SAML,0.05,200,63.2,361.2,145285,217525.0,0.0412
catboost,SAML,0.05,500,63.2,361.2,145285,325884.5,0.0412
catboost,SAML,0.05,1000,63.2,361.2,145285,506483.6,0.0412
catboost,SAML,0.05,2000,63.2,361.2,145285,867681.9,0.0412
catboost,SAML,0.05,5000,63.2,361.2,145285,1951276.6,0.0412
fedavg,SAML,0.05,10,37.3,387.0,5641,9511.3,0.02136
fedavg,SAML,0.05,25,37.3,387.0,5641,15316.8,0.02136
fedavg,SAML,0.05,50,37.3,387.0,5641,24992.6,0.02136
fedavg,SAML,0.05,100,37.3,387.0,5641,44344.3,0.02136
fedavg,SAML,0.05,200,37.3,387.0,5641,83047.5,0.02136
fedavg,SAML,0.05,500,37.3,387.0,5641,199157.3,0.02136
fedavg,SAML,0.05,1000,37.3,387.0,5641,392673.7,0.02136
fedavg,SAML,0.05,2000,37.3,387.0,5641,779706.3,0.02136
fedavg,SAML,0.05,5000,37.3,387.0,5641,1940804.3,0.02136
fednova,SAML,0.05,10,12.0,412.3,356,4479.2,0.0215
fednova,SAML,0.05,25,12.0,412.3,356,10664.1,0.0215
fednova,SAML,0.05,50,12.0,412.3,356,20972.2,0.0215
fednova,SAML,0.05,100,12.0,412.3,356,41588.4,0.0215
fednova,SAML,0.05,200,12.0,412.3,356,82820.8,0.0215
fednova,SAML,0.05,500,12.0,412.3,356,206518.0,0.0215
fednova,SAML,0.05,1000,12.0,412.3,356,412679.9,0.0215
fednova,SAML,0.05,2000,12.0,412.3,356,825003.8,0.0215
fednova,SAML,0.05,5000,12.0,412.3,356,2061975.6,0.0215
fedprox,SAML,0.05,10,35.9,388.4,4942,8826.7,0.02104
fedprox,SAML,0.05,25,35.9,388.4,4942,14652.8,0.02104
fedprox,SAML,0.05,50,35.9,388.4,4942,24363.0,0.02104
fedprox,SAML,0.05,100,35.9,388.4,4942,43783.4,0.02104
