round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,SAML-Bank0,fedavg,saml,0.006121693573645397,0.06890631710985261,323,0.5
5,1,SAML-Bank1,fedavg,saml,0.0040104100004266395,0.10055995836404807,200,0.5
5,2,SAML-Bank2,fedavg,saml,0.021518916498768748,0.10260415601089681,1128,0.5
5,3,SAML-Bank3,fedavg,saml,0.0008004002001000501,0.04437876549118496,46,0.5
10,0,SAML-Bank0,fedavg,saml,0.006323533882589001,0.07155844163356519,323,0.5
10,1,SAML-Bank1,fedavg,saml,0.004181754821896638,0.102174472774893,200,0.5
10,2,SAML-Bank2,fedavg,saml,0.021798203281609623,0.10343536410372978,1128,0.5
10,3,SAML-Bank3,fedavg,saml,0.0007902615461771097,0.04427335057881523,46,0.5
15,0,SAML-Bank0,fedavg,saml,0.005491663018822874,0.07124584603299737,323,0.5
15,1,SAML-Bank1,fedavg,saml,0.0038906386470105602,0.10342062931762123,200,0.5
15,2,SAML-Bank2,fedavg,saml,0.019281446499856497,0.10829104698306136,1128,0.5
15,3,SAML-Bank3,fedavg,saml,0.0007719952083056036,0.0444435379307417,46,0.5
20,0,SAML-Bank0,fedavg,saml,0.00549443186234438,0.07154049803457181,323,0.5
20,1,SAML-Bank1,fedavg,saml,0.0037811745776347547,0.10404905389471494,200,0.5
20,2,SAML-Bank2,fedavg,saml,0.019295567021164577,0.1058193391577647,1128,0.5
20,3,SAML-Bank3,fedavg,saml,0.0008311326192742335,0.04459380320790137,46,0.5
5,0,SAML-Bank0,fedprox,saml,0.005702292796895418,0.06854204040066417,323,0.5
5,1,SAML-Bank1,fedprox,saml,0.003630052596017541,0.10034966438603901,200,0.5
5,2,SAML-Bank2,fedprox,saml,0.019941059628441976,0.10474912873835385,1128,0.5
5,3,SAML-Bank3,fedprox,saml,0.0008205508278299078,0.04442463769135661,46,0.5
10,0,SAML-Bank0,fedprox,saml,0.005784236523731119,0.07214019296252037,323,0.5
10,1,SAML-Bank1,fedprox,saml,0.003969338299800095,0.10507985092128906,200,0.5
10,2,SAML-Bank2,fedprox,saml,0.020792190938328726,0.10961527954219093,1128,0.5
10,3,SAML-Bank3,fedprox,saml,0.000777056681967968,0.04419549706256094,46,0.5
15,0,SAML-Bank0,fedprox,saml,0.005622121098261874,0.07563727958208664,323,0.5
15,1,SAML-Bank1,fedprox,saml,0.003953064320810657,0.10546348728811943,200,0.5
15,2,SAML-Bank2,fedprox,saml,0.020167193421718726,0.10594605538290205,1128,0.5
15,3,SAML-Bank3,fedprox,saml,0.0007819481680071493,0.04434964109650733,46,0.5
20,0,SAML-Bank0,fedprox,saml,0.005401719458223583,0.0687545092704148,323,0.5
20,1,SAML-Bank1,fedprox,saml,0.0038012126403704845,0.10242486694971464,200,0.5
20,2,SAML-Bank2,fedprox,saml,0.01952040829748892,0.102829985039931,1128,0.5
20,3,SAML-Bank3,fedprox,saml,0.0008027078009819793,0.044442458792079635,46,0.5
5,0,SAML-Bank0,fednova,saml,0.0061555507679049585,0.06797317072617994,323,0.5
5,1,SAML-Bank1,fednova,saml,0.004228917150265465,0.10313069905713615,200,0.5
5,2,SAML-Bank2,fednova,saml,0.021891392013583578,0.10417120201656647,1128,0.5
5,3,SAML-Bank3,fednova,saml,0.0008652122860144614,0.04435523511665607,46,0.5
10,0,SAML-Bank0,fednova,saml,0.00605296343001261,0.06895665332741162,323,0.5
10,1,SAML-Bank1,fednova,saml,0.0041780253644660426,0.10163230587997653,200,0.5
10,2,SAML-Bank2,fednova,saml,0.02114830027090798,0.10248350687968741,1128,0.5
10,3,SAML-Bank3,fednova,saml,0.0008047570080922788,0.044316128876812994,46,0.5
15,0,SAML-Bank0,fednova,saml,0.005835278426142047,0.07213607511782649,323,0.5
15,1,SAML-Bank1,fednova,saml,0.003906466448717239,0.10306448048655421,200,0.5
15,2,SAML-Bank2,fednova,saml,0.019960839769389754,0.1028187387968551,1128,0.5
15,3,SAML-Bank3,fednova,saml,0.0007493027321797772,0.044426870619560924,46,0.5
20,0,SAML-Bank0,fednova,saml,0.006180353965727128,0.07213619905759558,323,0.5
20,1,SAML-Bank1,fednova,saml,0.004348231201664751,0.10481067867573651,200,0.5
20,2,SAML-Bank2,fednova,saml,0.02154387575548925,0.10391671040483927,1128,0.5
20,3,SAML-Bank3,fednova,saml,0.0008748086356109601,0.044620576430860114,46,0.5
5,0,SAML-Bank0,persfl,saml,0.004513819844899582,0.050586189728410696,323,0.5
5,1,SAML-Bank1,persfl,saml,0.003408784363734458,0.08955318248038452,200,0.5
5,2,SAML-Bank2,persfl,saml,0.018933812866175532,0.09573211839733538,1128,0.5
5,3,SAML-Bank3,persfl,saml,0.0005954103783336779,0.023302460821750935,46,0.5
10,0,SAML-Bank0,persfl,saml,0.004793779132701527,0.05562630825904223,323,0.5
10,1,SAML-Bank1,persfl,saml,0.002754082603994344,0.09702580956942049,200,0.5
10,2,SAML-Bank2,persfl,saml,0.018206073922938083,0.10521768844678656,1128,0.5
10,3,SAML-Bank3,persfl,saml,0.0006660260130731392,0.04481696022870435,46,0.5
15,0,SAML-Bank0,persfl,saml,0.004942300416193719,0.06923315943208823,323,0.5
15,1,SAML-Bank1,persfl,saml,0.0034720939681601596,0.0965124247621175,200,0.5
