strategy,dataset,alpha,auprc_mean,auprc_std,n_seeds
catboost,SAML,0.05,0.0577,0.03931513703397205,2
catboost,SAML,0.1,0.04735,0.02425376259469858,2
catboost,SAML,0.5,0.0827,0.003818376618407353,2
fedavg,SAML,0.05,0.0487,0.06420529573173851,2
fedavg,SAML,0.1,0.03295,0.04122432534317572,2
fedavg,SAML,0.5,0.08505,0.005020458146424484,2
fednova,SAML,0.05,0.05115,0.06866006845321376,2
fednova,SAML,0.1,0.029099999999999997,0.03818376618407356,2
fednova,SAML,0.5,0.07395,0.010535891039679555,2
fedprox,SAML,0.05,0.0487,0.06363961030678929,2
fedprox,SAML,0.1,0.033299999999999996,0.04058792924010783,2
fedprox,SAML,0.5,0.0744,0.007353910524340103,2
lgbm,SAML,0.05,0.0469,0.022768838354206827,2
lgbm,SAML,0.1,0.04765,0.02425376259469858,2
lgbm,SAML,0.5,0.0796,0.0016970562748477088,2
moe_confidence,SAML,0.05,0.0431,0.05317442994522837,2
moe_confidence,SAML,0.1,0.034999999999999996,0.0387494516090228,2
moe_confidence,SAML,0.5,0.08645,0.0058689862838483455,2
moe_performance,SAML,0.05,0.04505,0.052255191129685866,2
moe_performance,SAML,0.1,0.038599999999999995,0.0342239682094289,2
moe_performance,SAML,0.5,0.08660000000000001,0.005798275605729694,2
moe_static,SAML,0.05,0.04375,0.05225519112968586,2
moe_static,SAML,0.1,0.03735,0.03585031380615796,2
moe_static,SAML,0.5,0.0865,0.005939696961966998,2
moe_typology_aware,SAML,0.05,0.05135,0.05494219689819474,2
moe_typology_aware,SAML,0.1,0.0696,0.0036769552621700495,2
moe_typology_aware,SAML,0.5,0.0886,0.0035355339059327407,2
persfl,SAML,0.05,0.04905,0.04108290398693841,2
persfl,SAML,0.1,0.03345,0.035708892449920655,2
persfl,SAML,0.5,0.07365,0.011808683245815353,2
xgb,SAML,0.05,0.0504,0.02955706345359769,2
xgb,SAML,0.1,0.04615,0.02283954903232549,2
xgb,SAML,0.5,0.08235,0.004030508652763324,2
