dataset,alpha,fn_fp_ratio,auprc_best,cost_best,flip,money_left
SAML,0.05,10,catboost,fednova,True,92227.8
SAML,0.05,25,catboost,fednova,True,91700.5
SAML,0.05,50,catboost,fednova,True,90821.8
SAML,0.05,100,catboost,moe_performance,True,89291.7
SAML,0.05,200,catboost,moe_confidence,True,87133.0
SAML,0.05,500,catboost,fedprox,True,86603.0
SAML,0.05,1000,catboost,fedprox,True,87271.2
SAML,0.05,2000,catboost,fedprox,True,88607.6
SAML,0.05,5000,catboost,fedprox,True,92616.8
SAML,0.1,10,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,25,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,50,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,100,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,200,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,500,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,1000,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,2000,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.1,5000,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,10,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,25,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,50,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,100,moe_typology_aware,moe_typology_aware,False,0.0
SAML,0.5,200,moe_typology_aware,persfl,True,1525.9
SAML,0.5,500,moe_typology_aware,persfl,True,7183.2
SAML,0.5,1000,moe_typology_aware,persfl,True,16612.1
SAML,0.5,2000,moe_typology_aware,persfl,True,35470.0
SAML,0.5,5000,moe_typology_aware,persfl,True,92043.8
