strategy,dataset,alpha,fn_fp_ratio,TP,FN,FP,expected_loss,auprc
catboost,SAML,0.05,10,65.2,359.0,93469,97059.7,0.0577
catboost,SAML,0.05,25,65.2,359.0,93469,102445.3,0.0577
catboost,SAML,0.05,50,65.2,359.0,93469,111421.4,0.0577
catboost,SAML,0.05,100,65.2,359.0,93469,129373.5,0.0577
catboost,SAML,0.05,200,65.2,359.0,93469,165277.8,0.0577
catboost,SAML,0.05,500,65.2,359.0,93469,272990.6,0.0577
catboost,SAML,0.05,1000,65.2,359.0,93469,452512.0,0.0577
catboost,SAML,0.05,2000,65.2,359.0,93469,811554.8,0.0577
catboost,SAML,0.05,5000,65.2,359.0,93469,1888683.1,0.0577
fedavg,SAML,0.05,10,59.3,364.9,5883,9533.0,0.0487
fedavg,SAML,0.05,25,59.3,364.9,5883,15007.1,0.0487
fedavg,SAML,0.05,50,59.3,364.9,5883,24130.6,0.0487
fedavg,SAML,0.05,100,59.3,364.9,5883,42377.6,0.0487
fedavg,SAML,0.05,200,59.3,364.9,5883,78871.6,0.0487
fedavg,SAML,0.05,500,59.3,364.9,5883,188353.6,0.0487
fedavg,SAML,0.05,1000,59.3,364.9,5883,370823.5,0.0487
fedavg,SAML,0.05,2000,59.3,364.9,5883,735763.3,0.0487
fedavg,SAML,0.05,5000,59.3,364.9,5883,1830582.9,0.0487
fednova,SAML,0.05,10,30.1,394.2,890,4831.9,0.05115
fednova,SAML,0.05,25,30.1,394.2,890,10744.8,0.05115
fednova,SAML,0.05,50,30.1,394.2,890,20599.6,0.05115
fednova,SAML,0.05,100,30.1,394.2,890,40309.2,0.05115
fednova,SAML,0.05,200,30.1,394.2,890,79728.4,0.05115
fednova,SAML,0.05,500,30.1,394.2,890,197985.9,0.05115
fednova,SAML,0.05,1000,30.1,394.2,890,395081.9,0.05115
fednova,SAML,0.05,2000,30.1,394.2,890,789273.8,0.05115
fednova,SAML,0.05,5000,30.1,394.2,890,1971849.4,0.05115
fedprox,SAML,0.05,10,66.5,357.7,7534,11111.4,0.0487
fedprox,SAML,0.05,25,66.5,357.7,7534,16477.0,0.0487
fedprox,SAML,0.05,50,66.5,357.7,7534,25419.7,0.0487
fedprox,SAML,0.05,100,66.5,357.7,7534,43305.0,0.0487
fedprox,SAML,0.05,200,66.5,357.7,7534,79075.7,0.0487
fedprox,SAML,0.05,500,66.5,357.7,7534,186387.6,0.0487
fedprox,SAML,0.05,1000,66.5,357.7,7534,365240.8,0.0487
fedprox,SAML,0.05,2000,66.5,357.7,7534,722947.2,0.0487
fedprox,SAML,0.05,5000,66.5,357.7,7534,1796066.3,0.0487
lgbm,SAML,0.05,10,61.1,363.1,93213,96844.4,0.0469
lgbm,SAML,0.05,25,61.1,363.1,93213,102291.1,0.0469
lgbm,SAML,0.05,50,61.1,363.1,93213,111369.0,0.0469
lgbm,SAML,0.05,100,61.1,363.1,93213,129524.8,0.0469
lgbm,SAML,0.05,200,61.1,363.1,93213,165836.4,0.0469
lgbm,SAML,0.05,500,61.1,363.1,93213,274771.0,0.0469
lgbm,SAML,0.05,1000,61.1,363.1,93213,456328.8,0.0469
lgbm,SAML,0.05,2000,61.1,363.1,93213,819444.4,0.0469
lgbm,SAML,0.05,5000,61.1,363.1,93213,1908791.1,0.0469
moe_confidence,SAML,0.05,10,57.1,367.2,4707,8379.0,0.0431
moe_confidence,SAML,0.05,25,57.1,367.2,4707,13886.8,0.0431
moe_confidence,SAML,0.05,50,57.1,367.2,4707,23066.5,0.0431
moe_confidence,SAML,0.05,100,57.1,367.2,4707,41426.0,0.0431
moe_confidence,SAML,0.05,200,57.1,367.2,4707,78144.8,0.0431
moe_confidence,SAML,0.05,500,57.1,367.2,4707,188301.3,0.0431
moe_confidence,SAML,0.05,1000,57.1,367.2,4707,371895.5,0.0431
moe_confidence,SAML,0.05,2000,57.1,367.2,4707,739083.9,0.0431
moe_confidence,SAML,0.05,5000,57.1,367.2,4707,1840649.0,0.0431
moe_performance,SAML,0.05,10,43.3,381.0,1984,5793.9,0.04505
moe_performance,SAML,0.05,25,43.3,381.0,1984,11508.5,0.04505
moe_performance,SAML,0.05,50,43.3,381.0,1984,21033.0,0.04505
moe_performance,SAML,0.05,100,43.3,381.0,1984,40081.8,0.04505
moe_performance,SAML,0.05,200,43.3,381.0,1984,78179.4,0.04505
moe_performance,SAML,0.05,500,43.3,381.0,1984,192472.4,0.04505
moe_performance,SAML,0.05,1000,43.3,381.0,1984,382960.6,0.04505
moe_performance,SAML,0.05,2000,43.3,381.0,1984,763937.1,0.04505
moe_performance,SAML,0.05,5000,43.3,381.0,1984,1906866.6,0.04505
moe_static,SAML,0.05,10,42.2,382.0,2213,6034.0,0.04375
moe_static,SAML,0.05,25,42.2,382.0,2213,11764.6,0.04375
moe_static,SAML,0.05,50,42.2,382.0,2213,21315.5,0.04375
moe_static,SAML,0.05,100,42.2,382.0,2213,40417.3,0.04375
moe_static,SAML,0.05,200,42.2,382.0,2213,78621.1,0.04375
moe_static,SAML,0.05,500,42.2,382.0,2213,193232.2,0.04375
moe_static,SAML,0.05,1000,42.2,382.0,2213,384250.8,0.04375
moe_static,SAML,0.05,2000,42.2,382.0,2213,766287.9,0.04375
moe_static,SAML,0.05,5000,42.2,382.0,2213,1912399.2,0.04375
moe_typology_aware,SAML,0.05,10,36.5,387.7,1984,5861.3,0.05135
moe_typology_aware,SAML,0.05,25,36.5,387.7,1984,11677.2,0.05135
moe_typology_aware,SAML,0.05,50,36.5,387.7,1984,21370.2,0.05135
moe_typology_aware,SAML,0.05,100,36.5,387.7,1984,40756.3,0.05135
moe_typology_aware,SAML,0.05,200,36.5,387.7,1984,79528.5,0.05135
moe_typology_aware,SAML,0.05,500,36.5,387.7,1984,195845.2,0.05135
moe_typology_aware,SAML,0.05,1000,36.5,387.7,1984,389706.2,0.05135
moe_typology_aware,SAML,0.05,2000,36.5,387.7,1984,777428.3,0.05135
moe_typology_aware,SAML,0.05,5000,36.5,387.7,1984,1940594.5,0.05135
persfl,SAML,0.05,10,44.2,380.1,3140,6941.6,0.04905
persfl,SAML,0.05,25,44.2,380.1,3140,12642.9,0.04905
persfl,SAML,0.05,50,44.2,380.1,3140,22145.0,0.04905
persfl,SAML,0.05,100,44.2,380.1,3140,41149.3,0.04905
persfl,SAML,0.05,200,44.2,380.1,3140,79157.9,0.04905
persfl,SAML,0.05,500,44.2,380.1,3140,193183.5,0.04905
persfl,SAML,0.05,1000,44.2,380.1,3140,383226.3,0.04905
persfl,SAML,0.05,2000,44.2,380.1,3140,763311.9,0.04905
persfl,SAML,0.05,5000,44.2,380.1,3140,1903568.6,0.04905
xgb,SAML,0.05,10,57.1,367.1,92762,96433.5,0.0504
xgb,SAML,0.05,25,57.1,367.1,92762,101940.1,0.0504
xgb,SAML,0.05,50,57.1,367.1,92762,111117.7,0.0504
xgb,SAML,0.05,100,57.1,367.1,92762,129472.9,0.0504
xgb,SAML,0.05,200,57.1,367.1,92762,166183.2,0.0504
xgb,SAML,0.05,500,57.1,367.1,92762,276314.3,0.0504
xgb,SAML,0.05,1000,57.1,367.1,92762,459866.0,0.0504
xgb,SAML,0.05,2000,57.1,367.1,92762,826969.5,0.0504
xgb,SAML,0.05,5000,57.1,367.1,92762,1928280.1,0.0504
catboost,SAML,0.1,10,42.7,381.5,47100,50915.4,0.04735
catboost,SAML,0.1,25,42.7,381.5,47100,56638.3,0.04735
catboost,SAML,0.1,50,42.7,381.5,47100,66176.5,0.04735
catboost,SAML,0.1,100,42.7,381.5,47100,85252.9,0.04735
catboost,SAML,0.1,200,42.7,381.5,47100,123405.7,0.04735
catboost,SAML,0.1,500,42.7,381.5,47100,237864.1,0.04735
catboost,SAML,0.1,1000,42.7,381.5,47100,428628.2,0.04735
catboost,SAML,0.1,2000,42.7,381.5,47100,810156.2,0.04735
catboost,SAML,0.1,5000,42.7,381.5,47100,1954740.2,0.04735
fedavg,SAML,0.1,10,33.8,390.5,8136,12040.6,0.03295
fedavg,SAML,0.1,25,33.8,390.5,8136,17897.5,0.03295
fedavg,SAML,0.1,50,33.8,390.5,8136,27658.9,0.03295
fedavg,SAML,0.1,100,33.8,390.5,8136,47181.8,0.03295
fedavg,SAML,0.1,200,33.8,390.5,8136,86227.7,0.03295
fedavg,SAML,0.1,500,33.8,390.5,8136,203365.2,0.03295
fedavg,SAML,0.1,1000,33.8,390.5,8136,398594.5,0.03295
fedavg,SAML,0.1,2000,33.8,390.5,8136,789053.0,0.03295
fedavg,SAML,0.1,5000,33.8,390.5,8136,1960428.4,0.03295
fednova,SAML,0.1,10,18.7,405.5,5066,9121.2,0.029099999999999997
fednova,SAML,0.1,25,18.7,405.5,5066,15204.0,0.029099999999999997
fednova,SAML,0.1,50,18.7,405.5,5066,25342.0,0.029099999999999997
fednova,SAML,0.1,100,18.7,405.5,5066,45617.9,0.029099999999999997
fednova,SAML,0.1,200,18.7,405.5,5066,86169.9,0.029099999999999997
fednova,SAML,0.1,500,18.7,405.5,5066,207825.7,0.029099999999999997
fednova,SAML,0.1,1000,18.7,405.5,5066,410585.4,0.029099999999999997
fednova,SAML,0.1,2000,18.7,405.5,5066,816104.7,0.029099999999999997
fednova,SAML,0.1,5000,18.7,405.5,5066,2032662.8,0.029099999999999997
fedprox,SAML,0.1,10,32.7,391.6,8088,12004.4,0.033299999999999996
fedprox,SAML,0.1,25,32.7,391.6,8088,17877.8,0.033299999999999996
fedprox,SAML,0.1,50,32.7,391.6,8088,27666.8,0.033299999999999996
fedprox,SAML,0.1,100,32.7,391.6,8088,47244.9,0.033299999999999996
fedprox,SAML,0.1,200,32.7,391.6,8088,86401.1,0.033299999999999996
fedprox,SAML,0.1,500,32.7,391.6,8088,203869.5,0.033299999999999996
fedprox,SAML,0.1,1000,32.7,391.6,8088,399650.3,0.033299999999999996
