round,bank_id,bank_name,strategy,source,f1,auprc,n_test_fraud,alpha
5,0,SAML-Bank0,fedavg,saml,0.0,0.0,0,0.1
5,1,SAML-Bank1,fedavg,saml,0.0,0.0,0,0.1
5,2,SAML-Bank2,fedavg,saml,0.0,0.0,0,0.1
5,3,SAML-Bank3,fedavg,saml,0.0,0.008558592039618692,1697,0.1
10,0,SAML-Bank0,fedavg,saml,0.0,0.0,0,0.1
10,1,SAML-Bank1,fedavg,saml,0.0,0.0,0,0.1
10,2,SAML-Bank2,fedavg,saml,0.0,0.0,0,0.1
10,3,SAML-Bank3,fedavg,saml,0.0,0.013298676231040467,1697,0.1
15,0,SAML-Bank0,fedavg,saml,0.0,0.0,0,0.1
15,1,SAML-Bank1,fedavg,saml,0.0,0.0,0,0.1
15,2,SAML-Bank2,fedavg,saml,0.0,0.0,0,0.1
15,3,SAML-Bank3,fedavg,saml,0.0,0.013787427527987766,1697,0.1
20,0,SAML-Bank0,fedavg,saml,0.0,0.0,0,0.1
20,1,SAML-Bank1,fedavg,saml,0.0,0.0,0,0.1
20,2,SAML-Bank2,fedavg,saml,0.0,0.0,0,0.1
20,3,SAML-Bank3,fedavg,saml,0.0,0.015257093803061447,1697,0.1
5,0,SAML-Bank0,fedprox,saml,0.0,0.0,0,0.1
5,1,SAML-Bank1,fedprox,saml,0.0,0.0,0,0.1
5,2,SAML-Bank2,fedprox,saml,0.0,0.0,0,0.1
5,3,SAML-Bank3,fedprox,saml,0.0,0.010264162336800428,1697,0.1
10,0,SAML-Bank0,fedprox,saml,0.0,0.0,0,0.1
10,1,SAML-Bank1,fedprox,saml,0.0,0.0,0,0.1
10,2,SAML-Bank2,fedprox,saml,0.0,0.0,0,0.1
10,3,SAML-Bank3,fedprox,saml,0.0,0.010981991923137669,1697,0.1
15,0,SAML-Bank0,fedprox,saml,0.0,0.0,0,0.1
15,1,SAML-Bank1,fedprox,saml,0.0,0.0,0,0.1
15,2,SAML-Bank2,fedprox,saml,0.0,0.0,0,0.1
15,3,SAML-Bank3,fedprox,saml,0.0,0.013293946436909,1697,0.1
20,0,SAML-Bank0,fedprox,saml,0.0,0.0,0,0.1
20,1,SAML-Bank1,fedprox,saml,0.0,0.0,0,0.1
20,2,SAML-Bank2,fedprox,saml,0.0,0.0,0,0.1
20,3,SAML-Bank3,fedprox,saml,0.004703115814226925,0.01838368966135201,1697,0.1
5,0,SAML-Bank0,fednova,saml,0.0,0.0,0,0.1
5,1,SAML-Bank1,fednova,saml,0.0,0.0,0,0.1
5,2,SAML-Bank2,fednova,saml,0.0,0.0,0,0.1
5,3,SAML-Bank3,fednova,saml,0.0,0.004899863915519335,1697,0.1
10,0,SAML-Bank0,fednova,saml,0.0,0.0,0,0.1
10,1,SAML-Bank1,fednova,saml,0.0,0.0,0,0.1
10,2,SAML-Bank2,fednova,saml,0.0,0.0,0,0.1
10,3,SAML-Bank3,fednova,saml,0.0,0.004775703935985441,1697,0.1
15,0,SAML-Bank0,fednova,saml,0.0,0.0,0,0.1
15,1,SAML-Bank1,fednova,saml,0.0,0.0,0,0.1
15,2,SAML-Bank2,fednova,saml,0.0,0.0,0,0.1
15,3,SAML-Bank3,fednova,saml,0.0,0.008709837289407012,1697,0.1
20,0,SAML-Bank0,fednova,saml,0.0,0.0,0,0.1
20,1,SAML-Bank1,fednova,saml,0.0,0.0,0,0.1
20,2,SAML-Bank2,fednova,saml,0.0,0.0,0,0.1
20,3,SAML-Bank3,fednova,saml,0.0,0.008264393391002944,1697,0.1
5,0,SAML-Bank0,persfl,saml,0.0,0.0,0,0.1
5,1,SAML-Bank1,persfl,saml,0.0,0.0,0,0.1
5,2,SAML-Bank2,persfl,saml,0.0,0.0,0,0.1
5,3,SAML-Bank3,persfl,saml,0.04493681645605485,0.08241942671639992,1697,0.1
10,0,SAML-Bank0,persfl,saml,0.0,0.0,0,0.1
10,1,SAML-Bank1,persfl,saml,0.0,0.0,0,0.1
10,2,SAML-Bank2,persfl,saml,0.0,0.0,0,0.1
10,3,SAML-Bank3,persfl,saml,0.03280704451129801,0.04433048584190333,1697,0.1
15,0,SAML-Bank0,persfl,saml,0.0,0.0,0,0.1
15,1,SAML-Bank1,persfl,saml,0.0,0.0,0,0.1
15,2,SAML-Bank2,persfl,saml,0.0,0.0,0,0.1
15,3,SAML-Bank3,persfl,saml,0.019916866822404282,0.01529164285129301,1697,0.1
20,0,SAML-Bank0,persfl,saml,0.0,0.0,0,0.1
20,1,SAML-Bank1,persfl,saml,0.0,0.0,0,0.1
20,2,SAML-Bank2,persfl,saml,0.0,0.0,0,0.1
20,3,SAML-Bank3,persfl,saml,0.018751306321101193,0.03278891557925898,1697,0.1
